Coin,Name,Symbol,PCoin,PPrice,Trend_1M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
INDI,INDI/USDT,indiusdt,4,4,0,0.0,0.0,1,0,0,0,0.237,0.237,0.2339,0.2339,0.2339,-9999.763,0.2339,0.2339,0.2339,0.2339,False,False,1,0.0,0.2339,0.237,0.237
GNX,GNX/USDT,gnxusdt,2,6,0,0.0,0.0,1,0,0,0,0.005603,0.005603,0.005361,0.005361,0.005361,-9999.994397,0.005361,0.005361,0.005361,0.005361,False,False,1,0.0,0.005361,0.005603,0.005603
UNI,UNI/USDT,uniusdt,4,4,0,5.1807,5.1991,1,0,1,0,5.4245,5.4189,5.1807,5.2308,5.2308,-9994.5811,5.1807,5.1991,5.1764,5.1764,False,False,1,5.1653,5.1807,5.4245,5.4217
PLU,PLU/USDT,pluusdt,4,4,0,0.0,0.0,1,0,0,0,9.338,9.338,9.2146,9.2146,9.2146,-9990.662,9.2146,9.2146,9.2146,9.2146,False,False,1,0.0,9.2146,9.338,9.338
MTA,MTA/USDT,mtausdt,4,4,2,0.0,0.1366,2,1,1,1,0.2283,0.2283,0.1337,0.2302,0.2302,-9999.7698,0.1373,0.1366,0.1373,0.1373,False,False,0,0.1337,0.2283,0.2302,0.2283
TOKE,TOKE/USDT,tokeusdt,4,4,2,0.0,0.0,1,0,0,0,4.605,4.605,4.5392,4.5685,10004.5684,-9995.395,4.5564,4.5564,4.5564,4.5564,False,False,1,0.0,4.5392,4.605,4.605
GRT,GRT/USDT,grtusdt,4,6,0,0.153456,0.154292,1,0,1,0,0.165244,0.164733,0.153456,0.153676,0.153676,-9999.835267,0.153456,0.153676,0.1531,0.1531,False,False,1,0.153453,0.153578,0.165244,0.165241
TALK,TALK/USDT,talkusdt,4,6,1,0.0,0.17934,0,1,0,1,0.175176,0.175176,0.175485,0.17934,10000.175176,0.175485,0.182431,0.17934,0.182431,0.182431,False,False,0,0.185872,0.175176,0.17934,0.175176
NULS,NULS/USDT,nulsusdt,2,4,2,0.0,0.0,1,0,0,0,0.2218,0.2187,0.2028,0.2126,10000.2121,-9999.7798,0.2126,0.2126,0.2126,0.2126,False,False,1,0.0,0.2028,0.2218,0.2202
SMCW,SMCW/USDT,smcwusdt,4,4,2,0.0,0.0,1,0,0,0,0.0676,0.0676,0.0663,0.0672,10000.0667,-9999.9324,0.0672,0.0672,0.0672,0.0672,False,False,1,0.0,0.0663,0.0676,0.0676
