Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
KAI,KAI/USDT,kaiusdt,4,6,0,0.013435,0.022681,1,0,1,0,0.016883,0.014775,0.013435,0.016624,0.016624,-9999.985225,0.013435,0.015933,0.031533,0.031533,False,False,1,0.016624,0.013435,0.016883,0.016883
CELO,CELO/USDT,celousdt,4,4,1,0.0,1.6059,2,1,1,1,1.3759,1.2497,1.2,1.4008,1.4008,1.2,1.4052,1.4008,2.9081,2.9081,False,True,0,1.2,1.2497,1.4008,1.273
ABT,ABT/USDT,abtusdt,2,4,0,0.0683,0.121,1,0,1,0,0.0935,0.0778,0.0683,0.0859,0.0859,-9999.91,0.0683,0.0859,0.1435,0.1435,False,False,1,0.065,0.0683,0.0935,0.09
STAKE,STAKE/USDT,stakeusdt,4,4,2,10.1513,9.2232,2,1,1,1,6.7634,6.5827,6.5293,6.9814,6.9814,-9992.4461,6.5293,7.6446,10.7817,10.7817,True,False,0,6.594,6.5827,6.9814,6.7378
AAC,AAC/USDT,aacusdt,2,6,1,0.0,0.000999,0,1,0,0,0.000569,0.000424,0.000642,0.000999,10000.000492,0.000642,0.002595,0.000999,0.002595,0.002595,False,False,0,0.0,0.000424,0.000999,0.000452
OPUL,OPUL/USDT,opulusdt,4,4,1,0.3346,0.2009,0,1,0,0,0.1937,0.1748,0.1895,0.2009,10000.1889,0.1895,0.1895,0.2009,0.4994,0.4994,False,False,0,0.1764,0.1748,0.2009,0.1848
AR,AR/USDT,arusdt,2,4,1,12.942,16.1249,1,2,1,1,15.9088,14.0341,13.617,16.1249,10014.8807,13.617,15.2625,16.1249,28.5022,28.5022,False,False,1,13.617,13.617,15.9088,14.3511
LUNA,LUNA/USDT,lunausdt,2,8,2,82.7856,97.5213,0,1,1,1,0.01588,2.4e-05,82.7856,88.3732,10000.00011435,-9917.2144,82.7856,87.3931,80.0255,80.0255,False,False,0,88.3732,2.4e-05,88.3732,0.00010993
RAIN,RAIN/USDT,rainusdt,4,4,1,0.0,0.2617,1,2,1,1,0.165,0.1254,0.127,0.2617,10000.1501,0.127,0.3407,0.2617,0.3407,0.3407,False,False,1,0.127,0.127,0.165,0.1358
STORE,STORE/USDT,storeusdt,4,6,1,0.079,0.2,2,1,1,1,0.13826,0.11754,0.063378,0.1786,0.1786,0.063378,0.0792,0.1786,0.047666,0.047666,False,True,0,0.063378,0.11754,0.1786,0.126572
LINA,LINA/USDT,linausdt,4,6,0,0.008082,0.026984,2,1,1,1,0.009025,0.00851,0.00792,0.0101,0.0101,0.00792,0.00792,0.0101,0.019737,0.019737,True,True,0,0.009859,0.00851,0.0101,0.00875
LTC,LTC/USDT,ltcusdt,4,2,0,64.96,104.45,1,2,1,1,73.4,66.81,64.64,74.35,74.35,64.64,64.64,71.79,106.19,106.19,True,False,1,74.35,64.64,73.4,69.09
