Coin,Name,Symbol,PCoin,PPrice,Trend_1D,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
MGG,MGG/USDT,mggusdt,4,6,1,0.0,0.083999,0,1,0,0,0.032597,0.012361,0.05,0.083999,10000.025,0.05,0.169898,0.083999,0.169898,0.169898,False,False,0,0.0,0.012361,0.083999,0.023759
FX,FX/USDT,fxusdt,4,4,2,0.0,0.0,0,1,0,0,0.3394,0.1881,0.6224,0.7525,10000.2765,0.6224,0.6224,0.6224,0.6224,0.6224,False,False,0,0.0,0.1881,0.7525,0.2708
SD,SD/USDT,sdusdt,4,4,1,0.0,5.2356,0,1,0,0,1.4586,0.8449,4.5763,5.2356,10001.3,4.5763,4.7,5.2356,7.5,7.5,False,False,0,4.5763,0.8449,5.2356,1.1334
BAND,BAND/USDT,bandusdt,2,4,2,3.5075,10.0,0,1,1,1,2.0234,1.2811,3.5075,5.6306,10001.9095,-9995.4452,3.5075,3.895,9.6849,9.6849,False,False,0,5.6306,1.2811,5.6306,1.8386
ELF,ELF/USDT,elfusdt,4,4,2,0.2613,0.0,0,1,0,1,0.1927,0.1135,0.2613,0.5453,10000.173,-9999.5831,0.2613,0.5798,0.5798,0.5798,False,False,0,0.5453,0.1135,0.5453,0.1608
RAIN,RAIN/USDT,rainusdt,4,4,1,0.0,0.4401,0,1,0,0,0.17,0.1254,0.2494,0.4401,10000.1389,0.2494,1.0651,0.4401,1.0651,1.0651,False,False,0,0.0,0.1254,0.4401,0.1335
ZKP,ZKP/USDT,zkpusdt,4,4,1,0.1942,0.29,2,1,1,1,0.1527,0.1216,0.0596,0.2102,0.2102,0.0596,0.25,0.2102,0.2276,0.2276,False,True,0,0.0596,0.1216,0.2102,0.1254
IOI,IOI/USDT,ioiusdt,4,4,1,0.0,0.8999,0,2,1,0,0.71,0.429,0.5005,0.8999,10000.5412,0.5005,0.5276,0.8999,4.3963,4.3963,False,False,1,0.5005,0.5005,0.71,0.4955
ETH*(-3),ETH*(-3)/USDT,eth3susdt,4,10,0,1.0154e-06,1.7482e-06,1,0,1,0,4.222e-06,2.4792e-06,1.0154e-06,1.4e-06,1.4e-06,-9999.99999712,1.0154e-06,1.4e-06,2.3462e-06,2.3462e-06,False,False,1,8.105e-07,1.0154e-06,4.222e-06,3.0422e-06
FOX,FOX/USDT,foxusdt,4,4,2,0.2459,0.0,0,1,0,1,0.2298,0.1452,0.2459,0.59,10000.1692,-9999.6813,0.2459,0.3395,1.01,1.01,False,False,0,0.59,0.1452,0.59,0.1593
KAI,KAI/USDT,kaiusdt,4,6,2,0.0,0.0,0,1,0,0,0.016883,0.010278,0.031717,0.075,10000.016873,-9999.968806,0.031717,0.031717,0.031717,0.031717,False,False,0,0.0,0.010278,0.075,0.015
XYO,XYO/USDT,xyousdt,4,6,2,0.015735,0.026575,1,2,1,1,0.011751,0.007284,0.006505,0.024248,10000.010115,0.006505,0.015735,0.02247,0.0277,0.0277,False,False,1,0.024248,0.006505,0.011751,0.009572
RNDR,RNDR/USDT,rndrusdt,4,4,1,0.0,1.9073,1,2,1,1,1.1079,0.7484,0.6108,1.9073,10000.8608,0.6108,2.53,1.9073,1.3001,1.3001,False,False,1,0.6108,0.6108,1.1079,0.8842
FUSE,FUSE/USDT,fuseusdt,4,4,2,0.0,0.0,0,1,0,0,0.1888,0.1358,0.5032,0.6655,10000.1456,0.5032,0.5032,0.5032,0.5032,0.5032,False,False,0,0.0,0.1358,0.6655,0.1442
CRPT,CRPT/USDT,crptusdt,4,4,1,0.0,0.505,0,1,0,1,0.3098,0.1438,0.2513,0.505,10000.3098,0.2513,0.355,0.505,0.355,0.355,False,False,0,0.86,0.1438,0.505,0.2388
MTA,MTA/USDT,mtausdt,4,4,1,0.0,0.468,0,1,0,0,0.2496,0.1155,0.362,0.468,10000.2496,0.362,0.362,0.468,1.0101,1.0101,False,False,0,0.321,0.1155,0.468,0.2327
PAX,PAX/USDT,paxusdt,4,4,2,0.0,0.0,0,0,0,0,1.094,0.9,0.9991,0.9991,10000.9994,-9998.999,0.9991,0.9991,0.9991,0.9991,False,False,1,0.0,0.98,1.094,1.0011
ABT,ABT/USDT,abtusdt,2,4,1,0.0,0.198,1,2,1,0,0.0948,0.0877,0.065,0.198,10000.0911,0.065,0.1916,0.198,0.1916,0.1916,False,False,1,0.065,0.065,0.0948,0.0906
DAO,DAO/USDT,daousdt,4,4,2,0.0,0.0,0,1,0,0,2.394,1.5,2.5839,3.7083,10001.8831,-9996.759,2.5698,2.5698,2.5698,2.5698,False,False,0,0.0,1.5,3.7083,1.7961
LHB,LHB/USDT,lhbusdt,2,6,2,0.0,0.0,0,1,0,0,0.001539,0.00119,0.0255,0.0292,10000.001419,0.0346,0.0346,0.0346,0.0346,0.0346,False,False,0,0.0,0.00119,0.0292,0.001328
OCN,OCN/USDT,ocnusdt,4,8,1,0.0,0.00030602,0,1,0,0,0.00014393,8.33e-05,0.00020001,0.00030602,10000.00012466,0.00020001,0.00088479,0.00030602,0.00088479,0.00088479,False,False,0,0.00020001,8.33e-05,0.00030602,0.0001157
XTZ,XTZ/USDT,xtzusdt,4,4,2,2.84,4.1898,0,1,1,1,2.2077,1.4498,2.84,4.1323,10002.0123,-9996.2828,2.84,3.6669,6.4663,6.4663,False,False,0,4.1323,1.4498,4.1323,1.9438
BORING,BORING/USDT,boringusdt,2,6,1,0.044252,0.058504,1,2,1,1,0.0304,0.018087,0.016902,0.058504,10000.024239,0.016902,0.029397,0.058504,0.028272,0.028272,False,False,1,0.016902,0.016902,0.0304,0.020906
AAC,AAC/USDT,aacusdt,2,6,2,0.0,0.0,0,1,0,0,0.000691,0.000424,0.001349,0.002899,10000.000691,0.001349,0.001349,0.001349,0.001349,0.001349,False,False,0,0.0,0.000424,0.002899,0.00056
BADGER,BADGER/USDT,badgerusdt,4,4,1,0.0,8.4498,0,1,0,0,6.3614,3.856,7.2705,8.4498,10006.338,7.2705,7.2705,8.4498,31.54,31.54,False,False,0,6.9288,3.856,8.3581,5.8272
VSYS,VSYS/USDT,vsysusdt,2,6,1,0.0,0.0181,1,2,1,1,0.00487,0.00404,0.003419,0.0181,10000.003929,0.003419,0.0216,0.0181,0.0216,0.0216,False,False,1,0.003419,0.003419,0.00487,0.004678
TOKE,TOKE/USDT,tokeusdt,4,4,2,0.0,0.0,0,1,0,0,5.8168,4.4032,11.2022,11.99,10005.2155,11.2022,11.2022,11.2022,11.2022,11.2022,False,False,0,0.0,4.4032,11.99,4.605
NKN,NKN/USDT,nknusdt,2,6,2,0.162696,0.811776,0,1,1,1,0.104876,0.062022,0.162696,0.335487,10000.104738,-9999.717735,0.162696,0.292048,0.479994,0.479994,False,False,0,0.335487,0.062022,0.335487,0.10133
EFI,EFI/USDT,efiusdt,4,4,1,0.3351,0.4125,0,1,0,1,0.2918,0.1243,0.3072,0.4125,10000.2309,0.3072,0.3649,0.4125,0.8118,0.8118,False,False,0,0.3072,0.1243,0.3856,0.2264
USDT,USDT/RUB,usdtrub,1,2,2,0.0,0.0,0,0,0,0,64.26,57.6,62.36,62.36,10064.26,62.36,62.36,62.36,62.36,62.36,False,False,0,0.0,57.6,68.5,62.0
MONO,MONO/USDT,monousdt,4,4,2,0.0,0.0,0,0,0,0,11.9,0.4,6.9587,6.9587,10000.502,6.9587,6.9587,6.9587,6.9587,6.9587,False,False,1,0.0,0.4,11.9,0.4974
VR,VR/USDT,vrusdt,4,4,1,0.0,0.1698,1,2,1,0,0.09,0.0271,0.0229,0.1698,10000.045,0.0229,0.2084,0.1698,0.2084,0.2084,False,False,1,0.0229,0.0229,0.09,0.0566
MASK,MASK/USDT,maskusdt,4,4,2,0.0,4.9979,1,2,1,0,2.4521,1.8019,1.2722,6.4506,10002.1291,1.2722,11.6492,4.9979,11.6492,11.6492,False,False,1,3.5419,1.2722,2.4521,2.1275
BIT,BIT/USDT,bitusdt,4,4,2,0.0,0.0,0,1,0,0,0.9189,0.78,1.082,1.3661,10000.859,-9998.8897,1.082,1.082,1.082,1.082,False,False,0,0.0,0.78,1.3661,0.802
CTXC,CTXC/USDT,ctxcusdt,4,4,2,0.0,0.0,1,2,0,1,0.1648,0.0989,0.0778,1.5756,10000.1111,0.0778,0.217,0.217,0.217,0.217,False,False,1,0.2235,0.0778,0.1648,0.1351
DYDX,DYDX/USDT,dydxusdt,4,4,1,6.5888,5.198,0,1,0,1,3.0039,1.4122,4.1017,5.198,10002.3128,4.1017,4.1017,5.198,15.6087,15.6087,False,False,0,8.4899,1.4122,5.198,2.112
SWRV,SWRV/USDT,swrvusdt,4,4,1,0.0,0.3278,0,1,0,0,0.0761,0.0341,0.15,0.3278,10000.0691,0.15,0.15,0.3278,0.6734,0.6734,False,False,0,0.1404,0.0341,0.3278,0.0644
POLS,POLS/USDT,polsusdt,4,4,1,0.0,2.8069,0,1,0,0,0.7051,0.5052,1.105,2.8069,10000.6596,1.105,2.8798,2.8069,2.9812,2.9812,False,False,0,1.105,0.5052,2.8069,0.6414
WAXP,WAXP/USDT,waxpusdt,2,6,2,0.259768,0.52549,0,1,1,1,0.143752,0.080472,0.259768,0.394991,10000.143752,-9999.657931,0.259768,0.323471,0.519874,0.519874,False,False,0,0.394991,0.080472,0.394991,0.133084
WIN,WIN/USDT,winusdt,2,8,2,0.0,0.0,0,1,0,0,0.0002164,0.00013074,0.00028901,0.00041527,10000.00014995,-9999.9997107,0.00028901,0.00028901,0.00028901,0.00028901,False,False,0,0.0,0.00013074,0.00041527,0.00014369
AKT,AKT/USDT,aktusdt,4,4,2,0.0,0.0,0,1,0,1,0.6352,0.1966,0.7109,0.8049,10000.482,0.7109,0.7109,0.7109,0.7109,0.7109,False,False,0,0.8049,0.1966,0.8049,0.4656
BREED,BREED/USDT,breedusdt,4,4,2,0.0,0.0,0,1,0,1,0.1695,0.1038,0.4131,0.6141,10000.1142,0.4131,0.4131,0.4131,0.4131,0.4131,False,False,0,0.6141,0.1038,0.6141,0.1118
STRM,STRM/USDT,strmusdt,4,4,2,0.0,0.0,1,0,0,0,0.2549,0.2039,0.0798,0.1933,10000.1075,-9999.7872,0.1933,0.1933,0.1933,0.1933,False,False,1,0.0,0.0798,0.2549,0.2133
GODS,GODS/USDT,godsusdt,4,4,1,0.99,1.255,1,2,1,1,1.4696,0.8183,0.22,1.255,10000.6695,0.22,0.992,1.255,4.7557,4.7557,False,False,1,0.22,0.22,1.4696,1.0792
