Coin,Name,Symbol,PCoin,PPrice,Trend_1D,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
NAS,NAS/USDT,nasusdt,4,4,2,0.0,0.3039,0,0,1,1,0.1186,0.0654,0.1681,0.2119,10000.1099,-9999.7784,0.3254,0.2119,0.4387,0.4387,False,False,0,0.1681,0.0654,0.2119,0.0966
UNIC,UNIC/USDT,unicusdt,4,4,2,0.0,22.0341,0,1,1,0,13.6047,10.1959,18.2151,30.6863,10010.8924,-9978.8003,77.351,22.0341,77.351,77.351,False,False,0,18.2151,10.1959,30.6863,10.51
WNXM,WNXM/USDT,wnxmusdt,4,4,2,24.7054,75.4243,0,1,1,1,22.3226,15.2802,24.7054,40.6412,10017.8378,-9966.6999,24.7054,31.9355,67.7221,67.7221,False,False,0,40.6412,15.2802,40.6412,17.3853
LINA,LINA/USDT,linausdt,4,6,2,0.019374,0.027263,1,2,1,1,0.010514,0.00897,0.005748,0.034792,10000.009186,0.005748,0.019374,0.021471,0.056974,0.056974,False,False,1,0.034792,0.005748,0.010514,0.010283
CAW,CAW/USDT,cawusdt,2,12,1,0.0,1.44e-07,0,1,0,0,8.1385e-08,2.8001e-08,6.1339e-08,1.44e-07,10000.000000065,6.1339e-08,1.14702e-07,1.44e-07,1.14702e-07,1.14702e-07,False,False,0,0.0,2.8001e-08,1.44e-07,6.0108e-08
SNX,SNX/USDT,snxusdt,2,4,1,3.4564,7.1867,0,1,0,1,3.628,2.2054,4.4392,7.1867,10002.8154,4.4392,4.4392,7.1867,10.2389,10.2389,False,False,0,8.1767,2.2054,7.1867,2.6881
HIT,HIT/USDT,hitusdt,4,8,1,0.0,7.293e-05,0,1,0,0,1.297e-05,5.9e-06,2.853e-05,7.293e-05,10000.00000915,2.853e-05,0.00018208,7.293e-05,0.00018208,0.00018208,False,False,0,0.0,5.9e-06,7.293e-05,8.59e-06
COMP,COMP/USDT,compusdt,6,2,1,0.0,156.47,0,1,0,0,79.88,53.55,115.64,156.47,10072.9,115.64,115.64,156.47,356.56,356.56,False,False,0,93.34,53.55,156.47,69.92
LXT,LXT/USDT,lxtusdt,2,6,1,0.0,0.000599,1,2,1,0,0.00044,0.000202,0.000199,0.000599,10000.000384,0.000199,0.002032,0.000599,0.002032,0.002032,False,False,1,0.000199,0.000199,0.00044,0.000259
CRU,CRU/USDT,cruusdt,4,4,1,0.0,2.4995,0,1,0,0,1.257,0.75,1.8904,2.4995,10001.2246,1.8904,28.8914,2.4995,28.8914,28.8914,False,False,0,1.8904,0.75,2.4995,1.1343
XRP*(-3),XRP*(-3)/USDT,xrp3susdt,4,4,0,0.5415,1.8865,2,1,1,1,3.8548,1.7176,0.5415,4.2748,4.2748,-9997.547,0.5415,0.9587,1.5318,1.5318,False,False,0,4.2748,1.7176,4.2748,2.2491
MC,MC/USDT,mcusdt,4,4,2,0.0,0.0,0,1,0,0,1.2672,0.9785,2.6199,3.06,10001.202,-9997.2797,2.6199,2.6199,2.6199,2.6199,False,False,0,0.0,0.9785,3.06,1.1151
ITC,ITC/USDT,itcusdt,4,6,1,0.0,0.0184,0,1,0,0,0.012,0.006,0.0154,0.0184,10000.010123,0.0154,0.0234,0.0184,0.0918,0.0918,False,False,0,0.0154,0.006,0.0184,0.009903
NEW,NEW/USDT,newusdt,4,6,1,0.00024,0.00125,2,1,1,1,0.000469,0.000334,0.0003,0.000626,0.000626,0.0003,0.000589,0.000626,0.000463,0.000463,False,True,0,0.0003,0.000334,0.000626,0.000353
MASS,MASS/USDT,massusdt,2,4,1,0.0,0.06,0,1,0,0,0.0225,0.0086,0.0342,0.06,10000.0195,0.0342,0.3251,0.06,0.3251,0.3251,False,False,0,0.0,0.0086,0.06,0.0181
ANML,ANML/USDT,anmlusdt,4,6,2,0.0,0.0,0,1,0,0,0.002975,0.002715,0.0144,0.09001,10000.002902,-9999.983413,0.0144,0.0144,0.0144,0.0144,False,False,0,0.0,0.002715,0.09001,0.002858
KNC,KNC/USDT,kncusdt,2,4,2,1.7457,0.0,1,2,0,1,2.8465,2.335,1.1094,5.7632,10001.6366,1.1094,1.7457,1.461,1.9334,1.9334,False,False,1,2.3868,1.1094,2.8465,2.5964
SKU,SKU/USDT,skuusdt,4,6,1,0.0,0.176329,0,1,0,0,0.035,0.02,0.095101,0.176329,10000.031616,0.095101,0.305626,0.176329,0.305626,0.305626,False,False,0,0.095101,0.02,0.176329,0.029543
RACA,RACA/USDT,racausdt,4,6,2,0.0,0.0,0,1,0,0,0.000842,0.000355,0.002305,0.0028,10000.000577,-9999.997844,0.002305,0.002305,0.002305,0.002305,False,False,0,0.0,0.000355,0.0028,0.000557
REVV,REVV/USDT,revvusdt,4,6,1,0.0,0.07392,0,1,0,1,0.043282,0.026525,0.06978,0.07392,10000.030481,0.06978,0.09063,0.07392,0.09063,0.09063,False,False,0,0.06978,0.026525,0.07392,0.029396
BNT,BNT/USDT,bntusdt,2,4,1,2.0874,2.6167,0,1,0,1,1.5426,1.252,2.4892,2.6167,10001.4066,2.4892,2.4892,2.6167,4.3401,4.3401,False,False,0,2.9597,1.252,2.6167,1.3879
SRM,SRM/USDT,srmusdt,4,4,2,2.3945,2.7549,0,1,1,1,1.3627,0.9753,2.3945,3.7067,10001.1809,-9996.7672,2.3945,2.1424,7.6747,7.6747,False,False,0,3.7067,0.9753,3.7067,1.147
EGT,EGT/USDT,egtusdt,2,6,2,0.0,0.0,0,1,0,0,0.000536,0.000209,0.002252,0.00242,10000.000435,0.002252,0.002252,0.002252,0.002252,0.002252,False,False,0,0.0,0.000209,0.00242,0.00038
KSM,KSM/USDT,ksmusdt,3,4,1,115.6632,186.4839,0,1,0,1,89.156,62.028,148.3631,186.4839,10082.2897,148.3631,166.647,186.4839,433.0969,433.0969,False,False,0,148.3631,62.028,186.4839,79.8333
MDS,MDS/USDT,mdsusdt,2,6,1,0.0,0.001081,1,2,1,0,0.000316,0.000241,0.000211,0.001081,10000.000225,0.000211,0.001331,0.001081,0.005563,0.005563,False,False,1,0.000211,0.000211,0.000316,0.000294
PHA,PHA/USDT,phausdt,4,6,1,0.0,0.297345,0,1,0,0,0.152925,0.095491,0.253946,0.297345,10000.132966,0.253946,0.253946,0.297345,0.774175,0.774175,False,False,0,0.217638,0.095491,0.297345,0.128376
WOO,WOO/USDT,woousdt,2,5,1,0.0,0.68986,0,1,0,0,0.27605,0.14589,0.3381,0.68986,10000.20827,0.3381,0.74878,0.68986,1.25703,1.25703,False,False,0,0.3381,0.14589,0.68986,0.20267
BHD,BHD/USDT,bhdusdt,4,4,2,0.0,0.0,0,1,0,1,0.1065,0.0541,1.325,1.403,10000.0655,-9998.729,1.325,1.325,1.325,1.325,False,False,0,1.403,0.0541,1.403,0.0589
MXC,MXC/USDT,mxcusdt,2,6,0,0.049507,0.053,2,1,0,1,0.12448,0.05,0.049507,0.138095,0.138095,-9999.909429,0.049507,0.053,0.053542,0.053542,False,False,0,0.138095,0.05,0.138095,0.082585
BTM,BTM/USDT,btmusdt,2,6,1,0.0,0.0301,0,1,0,0,0.0151,0.0077,0.0206,0.0301,10000.010656,0.0206,0.0579,0.0301,0.0579,0.0579,False,False,0,0.0206,0.0077,0.0301,0.010149
APE,APE/USDT,apeusdt,4,4,2,0.0,0.0,0,0,0,0,32.0,1.0,7.4432,7.4432,10009.35,-9992.2323,7.4432,7.4432,7.4432,7.4432,False,False,1,0.0,1.0,32.0,8.0712
HIVE,HIVE/USDT,hiveusdt,2,4,1,0.0,1.9,0,1,0,0,0.5779,0.361,1.2755,1.9,10000.5779,1.2921,1.2755,1.9,0.8146,0.8146,False,False,0,0.0,0.361,1.9,0.5133
NULS,NULS/USDT,nulsusdt,2,4,1,0.0,0.6062,1,2,1,0,0.2874,0.1511,0.1352,0.6062,10000.1749,0.1352,0.4603,0.6062,0.5592,0.5592,False,False,1,0.1352,0.1352,0.2874,0.2169
ETH*(-1),ETH*(-1)/USDT,eth1susdt,4,4,0,0.2297,0.2692,1,0,1,0,0.3843,0.3147,0.2297,0.2549,0.2548,-9999.6614,0.2297,0.2549,0.2351,0.2351,False,False,1,0.2098,0.2297,0.3843,0.3445
COTI,COTI/USDT,cotiusdt,2,4,1,0.0,0.2534,0,1,0,0,0.1675,0.0838,0.2174,0.2534,10000.1182,0.2174,0.2174,0.2534,0.5211,0.5211,False,False,0,0.0,0.0838,0.2534,0.1164
TNB,TNB/USDT,tnbusdt,2,6,0,0.0006,0.0,1,0,0,0,0.003845,0.003701,0.0006,0.001248,0.001248,-9999.996299,0.0006,0.001248,0.00298,0.00298,False,False,1,0.0,0.0006,0.003845,0.003804
TRIBE,TRIBE/USDT,tribeusdt,4,4,1,0.0,0.5978,0,1,0,1,0.264,0.2409,0.5097,0.5978,10000.264,0.5097,0.9252,0.5978,0.9815,0.9815,False,False,0,0.5097,0.2409,0.5978,0.2524
BTC*(-3),BTC*(-3)/USDT,btc3susdt,4,8,0,8.9e-05,0.000175,1,0,1,0,0.0003082,0.00018629,8.9e-05,0.00013333,0.00013333,-9999.99979257,8.9e-05,0.00013333,0.00011234,0.00011234,False,False,1,6.864e-05,8.9e-05,0.0003082,0.00021646
EDEN,EDEN/USDT,edenusdt,4,4,1,0.0,0.3207,0,1,0,0,0.1554,0.1103,0.29,0.3207,10000.1447,0.29,0.29,0.3207,3.1799,3.1799,False,False,0,0.2891,0.1103,0.3207,0.1318
WNDR,WNDR/USDT,wndrusdt,4,6,2,0.0,0.0,1,2,0,0,0.043707,0.029101,0.027858,0.332999,10000.033675,0.027858,0.156094,0.156094,0.156094,0.156094,False,False,1,0.0,0.027858,0.043707,0.038543
ZKS,ZKS/USDT,zksusdt,4,4,1,0.0,0.1523,0,1,0,1,0.0662,0.044,0.0953,0.1523,10000.0617,0.0953,0.512,0.1523,0.512,0.512,False,False,0,0.0953,0.044,0.1523,0.0578
HBB,HBB/USDT,hbbusdt,4,4,1,0.4048,1.168,0,1,0,1,1.148,0.7472,0.9751,1.168,10000.8938,0.9751,1.4028,1.168,2.1281,2.1281,False,False,0,0.9751,0.7472,1.168,0.8806
BCH,BCH/USDT,bchusdt,4,2,1,0.0,353.26,0,1,0,1,249.95,156.91,290.79,353.26,10202.48,290.79,290.79,353.26,594.34,594.34,False,False,0,259.5,156.91,353.26,198.61
NUM,NUM/USDT,numusdt,4,4,2,0.0,0.0,0,1,0,0,0.1472,0.089,0.3431,0.3974,10000.1093,0.3431,0.3431,0.3431,0.3431,0.3431,False,False,0,0.0,0.089,0.3974,0.0977
API3,API3/USDT,api3usdt,4,4,1,0.0,6.297,0,1,0,1,2.1946,1.2292,3.8909,6.297,10002.1946,3.8909,4.4244,6.297,4.3769,4.3769,False,False,0,3.8909,1.2292,6.297,1.8524
T,T/USDT,tusdt,4,4,2,0.0,0.0,0,1,0,0,0.0663,0.037,0.1088,0.12,10000.0512,0.1088,0.1088,0.1088,0.1088,0.1088,False,False,0,0.0,0.037,0.12,0.0493
FILDA,FILDA/USDT,fildausdt,2,6,2,0.0,0.032,0,1,1,0,0.009396,0.007101,0.0233,0.0394,10000.00814,-9999.969,0.1076,0.032,0.1076,0.1076,False,False,0,0.0233,0.007101,0.0394,0.0076
LUNA,LUNA/USDT,lunausdt,2,8,1,0.0,99.4349,0,1,0,0,0.3,2.4e-05,75.6679,99.4349,10000.00022483,79.0622,75.6679,99.4349,49.6245,49.6245,False,False,0,43.4358,2.4e-05,99.4349,0.00017327
FIL,FIL/USDT,filusdt,4,4,1,0.0,28.168,0,1,0,1,9.5448,6.7002,16.4288,28.168,10008.4727,16.4288,62.6492,28.168,62.6492,62.6492,False,False,0,64.3599,6.7002,28.168,8.2935
FITFI,FITFI/USDT,fitfiusdt,4,6,2,0.0,0.0,1,2,0,1,0.324997,0.139751,0.078,0.738951,10000.260217,0.078,0.247615,0.247615,0.247615,0.247615,False,False,1,0.738951,0.078,0.324997,0.173334
CTSI,CTSI/USDT,ctsiusdt,2,4,1,0.0,0.5464,0,1,0,1,0.231,0.126,0.2816,0.5464,10000.1966,0.2816,0.7896,0.5464,0.7896,0.7896,False,False,0,0.2816,0.126,0.5464,0.1926
SLC,SLC/USDT,slcusdt,2,6,1,1.25,0.751087,0,1,0,1,0.117883,0.109827,0.535467,0.751087,10000.115322,0.535467,1.25,0.751087,0.845044,0.845044,False,False,0,2.09,0.109827,0.751087,0.112488
XTM,XTM/USDT,xtmusdt,4,4,2,0.0,0.1815,0,1,1,0,0.0643,0.0434,0.1171,0.2468,10000.0571,-9999.8032,1.4172,0.1815,1.4172,1.4172,False,False,0,0.1171,0.0434,0.2468,0.0513
HEC,HEC/USDT,hecusdt,4,4,1,0.0,1.7757,0,1,0,0,0.3492,0.3,1.242,1.7757,10000.3347,1.242,2.7736,1.7757,2.7736,2.7736,False,False,0,0.0,0.3,1.7757,0.3268
ZIG,ZIG/USDT,zigusdt,4,6,2,0.0,0.0,1,2,0,0,0.021897,0.017001,0.014041,0.039795,10000.017329,0.014041,0.069355,0.069355,0.069355,0.069355,False,False,1,0.0,0.014041,0.021897,0.020623
KAN,KAN/USDT,kanusdt,4,6,1,0.001811,0.001921,0,1,0,1,0.001504,0.001226,0.001865,0.001921,10000.001342,0.001865,0.001865,0.001921,0.003775,0.003775,False,False,0,0.002544,0.001226,0.001921,0.001331
AURORA,AURORA/USDT,aurorausdt,4,4,1,0.0,12.4112,0,1,0,0,5.5483,3.1079,9.6688,12.4112,10003.9168,9.6688,9.6688,12.4112,22.3011,22.3011,False,False,0,6.557,3.1079,12.4112,3.7887
XMX,XMX/USDT,xmxusdt,2,8,1,0.0,5.1e-05,1,2,1,0,2.9e-05,1.547e-05,1.339e-05,5.1e-05,10000.00001702,1.339e-05,6e-05,5.1e-05,0.000329,0.000329,False,False,1,1.339e-05,1.339e-05,2.9e-05,1.948e-05
BAT,BAT/USDT,batusdt,2,4,2,0.6147,0.9869,0,1,1,1,0.4994,0.3057,0.6147,0.9791,10000.4104,-9999.1143,0.6147,0.7669,0.9627,0.9627,False,False,0,0.9791,0.3057,0.9791,0.3986
KAVA,KAVA/USDT,kavausdt,2,4,1,0.0,6.0929,0,1,0,1,2.9098,1.4082,5.485,6.0929,10002.8812,5.485,5.8458,6.0929,5.8458,5.8458,False,False,0,6.0165,1.4082,6.0929,2.7488
XEC,XEC/USDT,xecusdt,2,8,1,6.689e-05,0.00010134,0,1,0,1,5.094e-05,2.568e-05,8.317e-05,0.00010134,10000.00004865,8.317e-05,8.317e-05,0.00010134,0.00019431,0.00019431,False,False,0,0.00016499,2.568e-05,0.00010134,4.769e-05
VPAD,VPAD/USDT,vpadusdt,4,4,1,0.0,0.3566,2,1,1,0,0.2203,0.1953,0.1715,0.281,0.281,0.1715,0.561,0.281,0.561,0.561,False,True,0,0.1715,0.1953,0.281,0.1981
NEO,NEO/USDT,neousdt,4,2,2,18.77,25.99,0,1,1,1,12.05,8.42,18.77,29.66,10010.93,-9973.87,18.77,22.99,45.28,45.28,False,False,0,29.66,8.42,29.66,10.63
LAMB,LAMB/USDT,lambusdt,4,6,1,0.00562,0.004869,0,1,0,1,0.002561,0.001048,0.00412,0.004869,10000.002022,0.00412,0.00412,0.004869,0.014471,0.014471,False,False,0,0.003086,0.001048,0.004869,0.001853
PEARL,PEARL/USDT,pearlusdt,6,2,1,0.0,27.89,1,2,1,1,15.87,9.33,10.0,27.89,10014.98,10.0,91.01,27.89,91.01,91.01,False,False,1,10.0,10.0,15.87,11.86
VIDY,VIDY/USDT,vidyusdt,2,6,0,0.000121,0.0,2,1,0,1,0.000222,0.00013,0.000121,0.0003,0.0003,-9999.999824,0.000121,0.000195,0.0017,0.0017,False,False,0,0.0003,0.00013,0.0003,0.000176
GCOIN,GCOIN/USDT,gcoinusdt,4,4,1,0.0,0.3569,2,1,1,0,0.1758,0.17,0.138,0.2223,0.2223,0.138,0.512,0.2223,0.3211,0.3211,False,True,0,0.138,0.17,0.2223,0.17
USDT,USDT/UAH,usdtuah,1,2,0,0.0,0.0,0,0,0,0,37.6,33.0,35.05,35.05,35.05,-9965.97,35.05,35.05,35.05,35.05,False,False,1,0.0,33.0,37.6,35.73
TT,TT/USDT,ttusdt,2,6,1,0.007254,0.014418,1,2,1,1,0.007462,0.005508,0.00453,0.014418,10000.006144,0.00453,0.007254,0.014418,0.013025,0.013025,False,False,1,0.00453,0.00453,0.007462,0.006262
REQ,REQ/USDT,requsdt,1,4,2,0.185,0.3151,0,1,1,1,0.1299,0.0905,0.185,0.3342,10000.1165,-9999.7522,0.185,0.2448,0.2222,0.2222,False,False,0,0.3342,0.0905,0.3342,0.1134
BOO,BOO/USDT,boousdt,4,4,1,0.0,8.4995,1,2,1,0,5.4999,2.1201,1.29,8.4995,10004.2,1.29,12.3212,8.4995,12.3212,12.3212,False,False,1,1.29,1.29,5.4999,4.525
CSPR,CSPR/USDT,csprusdt,1,4,2,0.0,0.0983,0,1,1,0,0.045,0.03,0.0546,0.1096,10000.0408,-9999.9178,0.1178,0.0983,0.1178,0.1178,False,False,0,0.0546,0.03,0.1096,0.0397
FTI,FTI/USDT,ftiusdt,2,8,1,0.0,0.000109,0,1,0,0,6.2e-05,4.923e-05,5.827e-05,0.000109,10000.0000609,5.827e-05,5.827e-05,0.000109,0.000369,0.000369,False,False,0,0.0,4.923e-05,0.000109,5.73e-05
LRC,LRC/USDT,lrcusdt,4,4,2,0.0,1.2289,0,1,1,0,0.6096,0.3273,0.6273,1.3616,10000.5151,-9998.7959,0.8103,1.2289,1.3768,1.3768,False,False,0,0.6273,0.3273,1.3616,0.4908
PLY,PLY/USDT,plyusdt,4,6,2,0.0,0.0,0,1,0,0,0.006161,0.001319,0.016819,0.071,10000.002967,0.016819,0.016819,0.016819,0.016819,0.016819,False,False,0,0.0,0.001319,0.071,0.002793
OXT,OXT/USDT,oxtusdt,4,4,1,0.0,0.3537,1,2,1,0,0.18,0.1164,0.0853,0.3537,10000.1203,0.0853,0.2482,0.3537,0.506,0.506,False,False,1,0.0853,0.0853,0.18,0.1312
FIRO,FIRO/USDT,firousdt,4,4,1,0.0,5.4175,0,1,0,0,2.3738,1.1005,2.929,5.4175,10002.0277,2.929,2.929,5.4175,8.5416,8.5416,False,False,0,3.0748,1.1005,5.4175,1.8467
LMR,LMR/USDT,lmrusdt,4,4,1,0.0,0.1032,2,1,1,0,0.0398,0.037,0.0341,0.0458,0.0458,0.0341,0.294,0.0458,0.294,0.294,False,True,0,0.0341,0.037,0.0458,0.0394
BTT,BTT/USDT,bttusdt,4,10,2,1.7875e-06,0.0,0,1,0,1,1.2839e-06,9.868e-07,1.7875e-06,2.344e-06,10000.0000011356,-9999.9999978797,1.7875e-06,1.8899e-06,2.0883e-06,2.0883e-06,False,False,0,2.344e-06,9.868e-07,2.344e-06,1.1181e-06
LINK*(-3),LINK*(-3)/USDT,link3susdt,4,4,2,4.0102,6.6985,2,1,1,1,30.1289,15.3874,4.8808,46.4867,46.4867,-9976.0,5.1062,6.6985,4.0567,4.0567,False,False,0,4.8808,15.3874,46.4867,19.5753
CLV,CLV/USDT,clvusdt,4,4,2,0.0,0.4108,0,1,1,1,0.2185,0.0996,0.2774,0.6211,10000.1563,-9999.554,0.3847,0.4108,1.3736,1.3736,False,False,0,0.2774,0.0996,0.6211,0.1491
BABYDOGE,BABYDOGE/USDT,babydogeusdt,2,12,2,0.0,0.0,1,2,0,0,2.2e-09,1.332e-09,7.04e-10,5.685e-09,10000.0000000015,7.04e-10,4.193e-09,4.193e-09,4.193e-09,4.193e-09,False,False,1,0.0,7.04e-10,2.2e-09,1.681e-09
FOR,FOR/USDT,forusdt,2,6,2,0.0,0.095734,0,1,1,0,0.024579,0.010477,0.052175,0.1385,10000.019946,-9999.938502,0.071656,0.095734,0.085402,0.085402,False,False,0,0.052175,0.010477,0.1385,0.01951
FIS,FIS/USDT,fisusdt,2,4,2,0.0,0.7964,1,2,1,0,0.4469,0.2219,0.1736,0.8793,10000.2594,0.1736,0.7131,0.7964,1.7231,1.7231,False,False,1,0.4954,0.1736,0.4469,0.3168
GF,GF/USDT,gfusdt,4,4,1,0.0,1.5072,0,1,0,0,0.7442,0.4572,1.2558,1.5072,10000.552,1.2558,1.7741,1.5072,1.7741,1.7741,False,False,0,1.2558,0.4572,1.5072,0.5423
RETH,RETH/USDT,rethusdt,4,6,0,0.0,0.0,0,0,0,0,0.240018,0.020001,0.034224,0.034224,0.034224,-9999.955785,0.034224,0.034224,0.034224,0.034224,False,False,0,0.0,0.020001,0.069,0.044685
NGL,NGL/USDT,nglusdt,4,4,1,0.0,0.6979,0,1,0,1,0.625,0.4102,0.583,0.6979,10000.4745,0.583,0.6667,0.6979,3.6539,3.6539,False,False,0,0.583,0.4102,0.6979,0.4603
MULTI,MULTI/USDT,multiusdt,4,4,1,0.0,12.4973,0,1,0,0,6.6313,5.6756,7.7645,12.4973,10006.6313,7.7645,10.8154,12.4973,15.2098,15.2098,False,False,0,7.7645,5.6756,12.4973,6.1189
STF,STF/USDT,stfusdt,4,4,2,0.0,0.0,0,1,0,0,0.0224,0.0064,0.0383,0.085,10000.0131,-9998.9318,1.2947,1.2947,1.2947,1.2947,False,False,0,0.0,0.0064,0.085,0.0114
SUSHI,SUSHI/USDT,sushiusdt,4,4,1,0.0,5.0263,0,1,0,1,1.6769,1.0837,2.753,5.0263,10001.5182,2.753,12.3409,5.0263,12.3409,12.3409,False,False,0,2.753,1.0837,5.0263,1.428
ERTHA,ERTHA/USDT,erthausdt,2,6,2,0.0,0.055229,0,1,1,0,0.026394,0.012645,0.048516,0.071506,10000.021128,-9999.949999,0.198999,0.055229,0.198999,0.198999,False,False,0,0.048516,0.012645,0.071506,0.01968
CUDOS,CUDOS/USDT,cudosusdt,4,6,1,0.0,0.022306,0,1,0,0,0.015731,0.007367,0.01898,0.022306,10000.01142,0.01898,0.025158,0.022306,0.025158,0.025158,False,False,0,0.01898,0.007367,0.022306,0.010633
LOOKS,LOOKS/USDT,looksusdt,4,4,1,0.9015,1.8822,0,1,0,1,1.1188,0.4569,1.3818,1.8822,10000.559,1.3818,1.3818,1.8822,3.2318,3.2318,False,False,0,2.9377,0.4569,1.8822,0.5118
SYS,SYS/USDT,sysusdt,4,4,2,0.0,0.0,0,1,0,0,0.2433,0.1351,0.4337,0.4662,10000.2151,0.4337,0.4337,0.4337,0.4337,0.4337,False,False,0,0.0,0.1351,0.4662,0.2068
WAVES,WAVES/USDT,wavesusdt,2,4,2,0.0,16.3161,0,1,1,0,12.7221,5.4917,7.564,63.7195,10005.9658,-9960.4326,13.8479,16.3161,25.3627,25.3627,False,False,0,7.564,5.4917,63.7195,5.821
DASH,DASH/USDT,dashusdt,4,2,2,83.55,215.59,0,1,1,1,65.64,45.05,83.55,138.74,10059.74,-9874.43,83.55,103.74,192.61,192.61,False,False,0,138.74,45.05,138.74,58.71
CAKE,CAKE/USDT,cakeusdt,4,4,2,0.0,0.0,0,1,0,0,4.8505,3.3055,8.826,10.9,10004.8505,-9990.7597,8.826,8.826,8.826,8.826,False,False,0,0.0,3.3055,10.9,4.7525
DAI,DAI/USDT,daiusdt,2,4,2,0.0,0.0,0,0,0,0,1.2,0.8798,1.0001,1.0001,10001.0004,-9998.9993,1.0001,1.0001,1.0001,1.0001,False,False,1,0.0,0.998,1.2,1.0011
RLY,RLY/USDT,rlyusdt,2,4,1,0.2238,0.1664,0,1,0,1,0.0879,0.063,0.1399,0.1664,10000.0708,0.1399,0.2238,0.1664,0.648,0.648,False,False,0,0.1399,0.063,0.1664,0.0675
XCUR,XCUR/USDT,xcurusdt,4,4,2,0.0,0.0,0,1,0,0,0.266,0.0836,1.3158,1.8,10000.17,1.3158,1.3158,1.3158,1.3158,1.3158,False,False,0,0.0,0.0836,1.8,0.1616
WAR,WAR/USDT,warusdt,4,4,1,0.0,0.0295,0,1,0,0,0.0226,0.0121,0.019,0.0295,10000.0132,0.019,0.3725,0.0295,0.3725,0.3725,False,False,0,0.019,0.0121,0.0295,0.0122
KLAY,KLAY/USDT,klayusdt,4,4,0,0.0,0.0,0,0,0,0,0.4733,0.343,0.4012,0.4012,0.4012,-9999.5633,0.4012,0.4012,0.4012,0.4012,False,False,1,0.0,0.343,0.4733,0.4656
NYM,NYM/USDT,nymusdt,4,4,2,0.0,0.0,0,1,0,0,0.639,0.2762,2.0313,6.9,10000.6,2.0313,2.0313,2.0313,2.0313,2.0313,False,False,0,0.0,0.2762,6.9,0.537
EPIK,EPIK/USDT,epikusdt,4,6,1,0.0,0.11392,0,1,0,0,0.026,0.018082,0.041474,0.11392,10000.025187,0.041474,0.455,0.11392,0.455,0.455,False,False,0,0.041474,0.018082,0.11392,0.024087
HBAR,HBAR/USDT,hbarusdt,2,6,1,0.0,0.269999,0,1,0,0,0.110452,0.074059,0.18,0.269999,10000.105123,0.18,0.221425,0.269999,0.393011,0.393011,False,False,0,0.18,0.074059,0.269999,0.103347
RADAR,RADAR/USDT,radarusdt,4,6,1,0.0,0.01527,0,1,0,0,0.011876,0.006,0.012262,0.01527,10000.011591,0.012262,0.012262,0.01527,0.032093,0.032093,False,False,0,0.011191,0.006,0.01527,0.009644
BCH*3,BCH*3/USDT,bch3lusdt,4,8,2,0.001299,0.050217,0,1,1,1,0.000687,0.00015,0.001299,0.003542,10000.000232,-9999.997164,0.001299,0.002722,0.048033,0.048033,False,False,0,0.003542,0.00015,0.003542,0.000221
LBP,LBP/USDT,lbpusdt,4,6,1,0.0,0.005369,1,2,1,0,0.002437,0.002001,0.002001,0.003714,0.003714,0.002051,0.002001,0.003714,0.021475,0.021475,True,True,1,0.001727,0.002051,0.002437,0.002342
VISION,VISION/USDT,visionusdt,4,6,1,0.0,0.045811,1,2,1,0,0.03041,0.010182,0.008059,0.045811,10000.0159,0.008059,0.218872,0.045811,0.218872,0.218872,False,False,1,0.008059,0.008059,0.03041,0.012726
AUDIO,AUDIO/USDT,audiousdt,4,4,1,0.0,1.4496,0,1,0,0,0.5076,0.2969,0.9945,1.4496,10000.4826,0.9945,0.7937,1.4496,0.7937,0.7937,False,False,0,0.0,0.2969,1.4496,0.4547
SCREAM,SCREAM/USDT,screamusdt,4,4,2,7.568,0.0,0,1,0,1,15.2,2.9002,7.568,17.5155,10006.4002,-9989.0369,7.568,10.5605,33.685,33.685,False,False,0,17.5155,2.9002,17.5155,4.5722
CHZ,CHZ/USDT,chzusdt,4,6,2,0.183,0.246987,0,1,1,1,0.1415,0.084618,0.183,0.332,10000.126457,-9999.744676,0.183,0.236716,0.448579,0.448579,False,False,0,0.332,0.084618,0.332,0.121784
WHALE,WHALE/USDT,whaleusdt,4,4,1,0.0,5.72,0,1,0,0,2.873,2.5485,5.5893,5.72,10002.873,5.5893,5.5893,5.72,17.6774,17.6774,False,False,0,5.7588,2.5485,5.72,2.6433
LQTY,LQTY/USDT,lqtyusdt,4,4,1,0.0,2.9419,1,2,1,0,2.0005,0.8695,0.9008,2.9419,10001.331,0.9008,1.7563,2.9419,6.7656,6.7656,False,False,1,0.9008,0.9008,2.0005,1.6247
RING,RING/USDT,ringusdt,2,6,1,0.0,0.024112,0,1,0,0,0.01211,0.00901,0.021143,0.024112,10000.009399,0.021143,0.021143,0.024112,0.089001,0.089001,False,False,0,0.015434,0.00901,0.024112,0.009074
MOVR,MOVR/USDT,movrusdt,4,4,1,0.0,95.0,1,2,1,0,28.754,19.8516,19.4668,95.0,10023.798,19.4668,100.6988,95.0,100.6988,100.6988,False,False,1,19.4668,19.4668,28.754,24.0756
