Coin,Name,Symbol,PCoin,PPrice,Trend_15M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
LOVE,LOVE/USDT,loveusdt,2,8,0,0.00589978,0.0,1,0,0,0,0.00609536,0.00589941,0.00589978,0.00598812,0.00598812,-9999.99397203,0.00589978,0.0059518,0.0059518,0.0059518,False,False,1,0.0,0.00589978,0.00609536,0.00607156
IMX,IMX/USDT,imxusdt,4,4,0,0.9659,0.9708,1,0,1,0,0.9957,0.973,0.9659,0.9843,0.9841,-9999.0123,0.9659,0.9843,0.8691,0.8691,False,False,1,1.0769,0.9659,0.9957,0.9901
INDI,INDI/USDT,indiusdt,4,4,2,0.2346,0.0,0,1,0,1,0.2276,0.2264,0.2346,0.2378,10000.2272,-9999.7622,0.2346,0.2387,0.2387,0.2387,False,False,0,0.2378,0.2264,0.2378,0.2272
SWFTC,SWFTC/USDT,swftcusdt,2,6,2,0.0,0.0,1,2,0,1,0.0013,0.001117,0.001094,0.001217,10000.001122,0.001094,0.00116,0.00116,0.00116,0.00116,False,False,1,0.001217,0.001094,0.0013,0.001146
XRP,XRP/USDT,xrpusdt,2,5,2,0.41053,0.42155,1,0,1,1,0.42554,0.41751,0.41441,0.42155,10000.41744,-9999.57874,0.41662,0.42155,0.41122,0.41122,False,False,1,0.41441,0.41441,0.42554,0.42096
AR,AR/USDT,arusdt,2,4,1,15.3413,15.9041,1,2,1,1,15.8836,15.7898,15.3174,15.9041,10015.4509,15.3174,15.609,15.9041,14.5968,14.5968,False,False,1,15.3174,15.3174,15.8836,15.8511
CEEK,CEEK/USDT,ceekusdt,4,4,2,0.1782,0.1835,2,1,1,1,0.1867,0.18,0.1758,0.1891,0.1891,-9999.8152,0.1789,0.1835,0.1767,0.1767,False,False,0,0.1758,0.18,0.1891,0.1834
VET,VET/USDT,vetusdt,4,6,0,0.031339,0.031866,1,0,0,1,0.033197,0.031787,0.031409,0.032402,0.031866,-9999.967418,0.031339,0.031866,0.03026,0.03026,False,False,1,0.032402,0.031409,0.033197,0.032998
HC,HC/USDT,hcusdt,4,4,2,0.1546,0.1553,0,0,1,0,0.1628,0.1499,0.1546,0.1565,10000.1539,-9999.8436,0.1546,0.1553,0.1491,0.1491,False,False,1,0.1479,0.1546,0.1628,0.1568
YGG,YGG/USDT,yggusdt,4,4,0,0.6475,0.0,1,0,0,0,1.0904,0.7161,0.6475,0.663,0.663,-9999.1868,0.6475,0.6337,0.6056,0.6056,False,False,1,0.663,0.6475,1.0904,0.8149
HOTCROSS,HOTCROSS/USDT,hotcrossusdt,4,4,1,0.0,0.0815,0,1,0,0,0.0826,0.0719,0.0782,0.0815,10000.0739,0.0782,0.0786,0.0815,0.0679,0.0679,False,False,0,0.0782,0.0719,0.0815,0.0735
GST,GST/USDT,gstusdt,4,4,1,0.0,2.9644,1,2,1,0,2.9227,2.8942,2.8714,2.9293,2.9293,2.8714,2.8714,2.9293,2.8848,2.8848,True,True,1,2.8102,2.8714,2.9227,2.9097
TRX,TRX/USDT,trxusdt,2,6,0,0.074779,0.074367,1,2,1,1,0.077913,0.077681,0.076695,0.078892,0.078892,0.076695,0.076695,0.074367,0.07127,0.07127,True,False,1,0.078892,0.076695,0.077913,0.07785
TRACE,TRACE/USDT,traceusdt,4,4,2,0.0,0.0696,1,0,1,1,0.0699,0.0668,0.0614,0.0696,10000.0614,-9999.9332,0.0644,0.0696,0.0637,0.0637,False,False,1,0.0614,0.0614,0.0699,0.0699
FSN,FSN/USDT,fsnusdt,4,4,2,0.3035,0.3062,1,2,1,1,0.3034,0.3034,0.2841,0.3145,10000.303,0.2841,0.3035,0.3062,0.2965,0.2965,False,False,1,0.3145,0.2841,0.3034,0.3034
SUN,SUN/USDT,sunusdt,2,6,2,0.009122,0.009002,1,2,1,1,0.009189,0.009106,0.008824,0.009324,10000.009042,0.008824,0.009122,0.008848,0.008715,0.008715,False,False,1,0.009324,0.008824,0.009189,0.009177
BSV,BSV/USDT,bsvusdt,4,4,0,50.3597,50.9356,1,0,1,0,51.676,50.9395,50.3597,50.6158,50.6158,-9949.0605,50.3597,50.6158,48.4276,48.4276,False,False,1,51.5325,50.3597,51.676,51.675
ATS,ATS/USDT,atsusdt,2,6,2,0.215524,0.216878,0,1,0,2,0.2183,0.215524,0.216315,0.220152,10000.215524,-9999.780328,0.215524,0.216878,0.215154,0.215154,False,False,0,0.220152,0.215524,0.220152,0.215524
VOXEL,VOXEL/USDT,voxelusdt,4,4,2,0.0,0.0,1,0,0,0,0.7547,0.6208,0.5869,0.68,10000.5995,-9999.3089,0.6104,0.6104,0.6104,0.6104,False,False,1,0.0,0.5869,0.7547,0.6943
BSV*3,BSV*3/USDT,bsv3lusdt,4,10,0,4.287e-06,4.4024e-06,1,0,1,0,4.5998e-06,4.4747e-06,4.287e-06,4.5373e-06,4.5373e-06,-9999.9999955253,4.287e-06,4.4024e-06,3.8287e-06,3.8287e-06,False,False,1,4.1767e-06,4.287e-06,4.5998e-06,4.5998e-06
CRO,CRO/USDT,crousdt,2,6,2,0.192453,0.19457,1,2,1,1,0.196251,0.1948,0.192009,0.197062,10000.192548,0.192009,0.192453,0.193808,0.185052,0.185052,False,False,1,0.197062,0.192009,0.196251,0.195677
EKT,EKT/USDT,ektusdt,2,6,0,0.000317,0.000355,1,2,1,1,0.000348,0.000316,0.000316,0.000358,0.000358,0.000324,0.000316,0.000356,0.000356,0.000356,True,False,1,0.000358,0.000324,0.000348,0.000348
MGG,MGG/USDT,mggusdt,4,6,2,0.0,0.0,0,0,0,0,0.023235,0.022069,0.023606,0.023606,10000.022982,-9999.976821,0.023606,0.023606,0.023606,0.023606,False,False,0,0.0,0.022069,0.023809,0.022858
FX,FX/USDT,fxusdt,4,4,2,0.0,0.0,0,0,0,0,0.2765,0.2602,0.2707,0.2707,10000.2731,-9999.7278,0.2707,0.2707,0.2707,0.2707,False,False,1,0.0,0.2641,0.2765,0.2736
SD,SD/USDT,sdusdt,4,4,2,0.0,0.0,2,1,0,0,1.2726,1.1008,1.0746,1.2726,1.248,1.0746,1.2906,1.2726,1.2906,1.2906,False,True,0,0.0,1.1008,1.248,1.1362
BAND,BAND/USDT,bandusdt,2,4,0,1.8253,1.8691,1,0,0,0,1.8803,1.8684,1.8253,1.8339,1.8339,-9998.1316,1.8253,1.8691,1.6983,1.6983,False,False,1,1.8723,1.8253,1.8803,1.8803
ELF,ELF/USDT,elfusdt,4,4,2,0.1511,0.1614,1,0,1,1,0.1746,0.1594,0.1561,0.1614,10000.1566,-9999.8331,0.1565,0.1614,0.1503,0.1503,False,False,1,0.1561,0.1561,0.1746,0.1673
RAIN,RAIN/USDT,rainusdt,4,4,2,0.0,0.0,1,2,0,0,0.1389,0.1254,0.1266,0.1398,10000.1267,0.1266,0.1362,0.1362,0.1362,0.1362,False,False,1,0.0,0.1266,0.1389,0.1357
ZKP,ZKP/USDT,zkpusdt,4,4,1,0.0,0.1537,0,1,0,0,0.131,0.1216,0.1526,0.1537,10000.1276,0.1526,0.1585,0.1537,0.1585,0.1585,False,False,0,0.0,0.1216,0.1537,0.1275
IOI,IOI/USDT,ioiusdt,4,4,1,0.5101,0.5342,1,2,1,1,0.4757,0.4757,0.4755,0.4872,0.4872,0.4755,0.4755,0.4872,0.5718,0.5718,True,True,1,0.4755,0.4755,0.4757,0.4757
ETH*(-3),ETH*(-3)/USDT,eth3susdt,4,10,1,3.1439e-06,3.0313e-06,2,1,1,1,2.9159e-06,2.8843e-06,2.8046e-06,2.9659e-06,2.9659e-06,2.8046e-06,2.9734e-06,2.9659e-06,3.236e-06,3.236e-06,False,True,0,2.8046e-06,2.8843e-06,2.9659e-06,2.8981e-06
FOX,FOX/USDT,foxusdt,4,4,2,0.1566,0.1677,0,1,1,1,0.1692,0.146,0.1598,0.174,10000.1597,-9999.8311,0.1602,0.1677,0.1544,0.1544,False,False,0,0.1598,0.146,0.174,0.1597
KAI,KAI/USDT,kaiusdt,4,6,2,0.0,0.0,1,0,0,0,0.016883,0.013722,0.013435,0.0145,10000.013435,-9999.984042,0.0145,0.0145,0.0145,0.0145,False,False,1,0.0,0.013435,0.016883,0.016008
XYO,XYO/USDT,xyousdt,4,6,2,0.009576,0.009722,1,0,2,0,0.010352,0.00989,0.00936,0.009645,10000.009486,-9999.989968,0.009576,0.009722,0.008989,0.008989,False,False,1,0.00936,0.00936,0.010352,0.010102
RNDR,RNDR/USDT,rndrusdt,4,4,0,0.8857,0.8958,1,0,1,0,0.9084,0.9058,0.8857,0.8928,0.8928,-9999.0942,0.8857,0.8868,0.8789,0.8789,False,False,1,0.9067,0.8857,0.9084,0.9058
FUSE,FUSE/USDT,fuseusdt,4,4,2,0.1435,0.1454,2,0,1,1,0.1449,0.1434,0.1434,0.1443,0.1443,-9999.8559,0.1439,0.1443,0.1428,0.1428,False,False,0,0.1434,0.1434,0.1443,0.1445
CRPT,CRPT/USDT,crptusdt,4,4,1,0.2475,0.2459,0,1,0,1,0.2281,0.2281,0.2294,0.2459,10000.2281,0.2294,0.2414,0.2459,0.1844,0.1844,False,False,0,0.2294,0.2281,0.2459,0.2281
MTA,MTA/USDT,mtausdt,4,4,2,0.1349,0.141,1,0,1,1,0.267,0.2192,0.1314,0.141,10000.141,-9999.741,0.134,0.141,0.1368,0.1368,False,False,1,0.1314,0.1314,0.267,0.2601
PAX,PAX/USDT,paxusdt,4,4,1,1.0012,1.0014,0,1,0,1,1.0013,1.0009,1.0013,1.0014,10001.001,1.0013,1.0013,1.0014,1.0013,1.0013,False,False,0,1.0014,1.0009,1.0014,1.001
ABT,ABT/USDT,abtusdt,2,4,0,0.0911,0.093,1,0,1,0,0.0941,0.0912,0.0911,0.094,0.094,-9999.9059,0.0911,0.0928,0.0879,0.0879,False,False,1,0.094,0.0911,0.0941,0.0912
DAO,DAO/USDT,daousdt,4,4,2,1.7528,1.8753,0,1,1,1,1.8385,1.8385,1.8581,1.8754,10001.8385,-9998.1246,1.8591,1.8753,1.6563,1.6563,False,False,0,1.8581,1.8385,1.8754,1.8385
LHB,LHB/USDT,lhbusdt,2,6,1,0.0,0.001419,0,1,0,1,0.001401,0.001287,0.001391,0.001419,10000.001364,0.001391,0.001397,0.001419,0.001397,0.001397,False,False,0,0.001443,0.001287,0.001419,0.001332
OCN,OCN/USDT,ocnusdt,4,8,0,0.00011246,0.00012353,1,0,1,0,0.00012466,0.00011368,0.00011246,0.00012071,0.00012071,-9999.99987901,0.00011246,0.00012071,0.00011169,0.00011169,False,False,1,0.00010681,0.00011246,0.00012466,0.00011435
XTZ,XTZ/USDT,xtzusdt,4,4,0,1.9419,1.9858,1,0,1,0,1.9934,1.9692,1.9419,1.9556,1.9555,-9998.015,1.9419,1.9556,1.7512,1.7512,False,False,1,1.913,1.9419,1.9934,1.987
BORING,BORING/USDT,boringusdt,2,6,2,0.021415,0.021526,1,2,1,1,0.020509,0.020308,0.020306,0.021041,0.020824,0.020306,0.020306,0.021041,0.021816,0.021816,True,True,1,0.022415,0.020306,0.020509,0.020329
AAC,AAC/USDT,aacusdt,2,6,2,0.0,0.000447,1,0,1,1,0.000691,0.000439,0.00043,0.000447,10000.000438,-9999.999485,0.000457,0.000447,0.000457,0.000457,False,False,1,0.00043,0.00043,0.000691,0.000515
BADGER,BADGER/USDT,badgerusdt,4,4,2,5.8625,5.9195,1,0,1,1,5.9596,5.9565,5.8415,5.9195,10005.8415,-9994.0435,5.9016,5.9195,5.4861,5.4861,False,False,1,5.8415,5.8415,5.9596,5.958
VSYS,VSYS/USDT,vsysusdt,2,6,2,0.004384,0.004657,2,1,1,1,0.004673,0.004601,0.004603,0.004675,0.004675,-9999.995339,0.004757,0.004657,0.004393,0.004393,False,False,0,0.004603,0.004601,0.004675,0.004626
TOKE,TOKE/USDT,tokeusdt,4,4,0,4.4909,0.0,2,1,0,1,4.6515,4.5312,4.4909,4.7591,4.7591,-9995.2773,4.4909,4.7405,4.4354,4.4354,False,False,0,4.7591,4.5312,4.7591,4.6406
NKN,NKN/USDT,nknusdt,2,6,2,0.101116,0.104413,1,2,1,1,0.104432,0.103734,0.100118,0.106285,10000.100748,0.100118,0.101116,0.102539,0.096134,0.096134,False,False,1,0.106285,0.100118,0.104432,0.104223
EFI,EFI/USDT,efiusdt,4,4,1,0.2252,0.2394,1,2,1,1,0.2318,0.2318,0.2271,0.2394,10000.2284,0.2271,0.2327,0.2394,0.2074,0.2074,False,False,1,0.2271,0.2271,0.2318,0.2318
USDT,USDT/RUB,usdtrub,1,2,2,59.87,61.48,0,1,1,1,63.0,59.4,59.87,63.9,10059.5,-9936.83,59.87,62.68,61.48,61.48,False,False,0,63.9,59.4,63.9,62.0
MONO,MONO/USDT,monousdt,4,4,2,0.4974,0.0,0,1,0,1,0.4652,0.465,0.4974,0.5014,10000.4652,-9999.4986,0.4974,0.5004,0.4916,0.4916,False,False,0,0.5014,0.465,0.5014,0.4652
VR,VR/USDT,vrusdt,4,4,0,0.0547,0.0,1,0,0,0,0.0616,0.0558,0.0547,0.0581,0.0581,-9999.9403,0.0547,0.0555,0.0546,0.0546,False,False,1,0.0581,0.0547,0.0616,0.0606
MASK,MASK/USDT,maskusdt,4,4,1,1.8926,2.1854,1,2,1,1,2.1289,2.0931,2.0297,2.1854,10002.0622,2.0297,2.128,2.1854,1.9074,1.9074,False,False,1,2.0297,2.0297,2.1289,2.1226
BIT,BIT/USDT,bitusdt,4,4,2,0.8032,0.0,2,1,0,1,0.8,0.8,0.8,0.804,0.804,0.8,0.8032,0.804,0.8052,0.8052,False,True,0,0.8051,0.8,0.804,0.8
CTXC,CTXC/USDT,ctxcusdt,4,4,2,0.137,0.1368,1,0,1,1,0.1401,0.1393,0.1357,0.1368,10000.1357,-9999.8607,0.1372,0.1368,0.1278,0.1278,False,False,1,0.1357,0.1357,0.1401,0.1401
DYDX,DYDX/USDT,dydxusdt,4,4,2,2.1346,1.9847,1,2,1,1,2.1853,2.1612,2.1066,2.2014,10002.1193,2.1066,2.1346,2.1629,1.971,1.971,False,False,1,2.2014,2.1066,2.1853,2.1773
SWRV,SWRV/USDT,swrvusdt,4,4,0,0.0644,0.0668,1,0,1,0,0.07,0.0643,0.0644,0.0653,0.0648,-9999.9323,0.0644,0.0653,0.0608,0.0608,False,False,1,0.0627,0.0644,0.07,0.0677
POLS,POLS/USDT,polsusdt,4,4,0,0.6421,0.6406,1,0,1,0,0.6503,0.6474,0.6421,0.6422,0.6422,-9999.3526,0.6421,0.6422,0.6229,0.6229,False,False,1,0.6508,0.6421,0.6503,0.648
WAXP,WAXP/USDT,waxpusdt,2,6,2,0.13794,0.134558,1,2,1,1,0.138491,0.136898,0.13607,0.143988,10000.136481,0.13607,0.13794,0.140173,0.120546,0.120546,False,False,1,0.143988,0.13607,0.138491,0.138166
WIN,WIN/USDT,winusdt,2,8,1,0.00014624,0.00014959,1,2,1,1,0.00014583,0.00014555,0.00014375,0.00014716,0.00014716,0.00014375,0.00014375,0.00014716,0.00013967,0.00013967,True,True,1,0.00014234,0.00014375,0.00014583,0.00014556
AKT,AKT/USDT,aktusdt,4,4,0,0.4532,0.0,2,1,0,1,0.4795,0.4556,0.4532,0.482,0.482,-9999.524,0.4532,0.46,0.46,0.46,False,False,0,0.482,0.4556,0.482,0.4628
BREED,BREED/USDT,breedusdt,4,4,0,0.1065,0.0,1,2,0,1,0.1145,0.1121,0.1109,0.1142,0.1142,0.1109,0.1109,0.106,0.106,0.106,True,False,1,0.1142,0.1109,0.1145,0.1131
STRM,STRM/USDT,strmusdt,4,4,2,0.0,0.0,0,1,0,0,0.2272,0.2076,0.2312,0.235,10000.2188,-9999.77,0.2312,0.2312,0.2312,0.2312,False,False,0,0.0,0.2076,0.235,0.216
GODS,GODS/USDT,godsusdt,4,4,2,0.0,1.041,0,1,1,1,0.9318,0.8157,0.8994,1.1999,10000.8824,-9998.9741,0.9191,1.041,0.8459,0.8459,False,False,0,0.8994,0.8157,1.1999,0.8762
POND,POND/USDT,pondusdt,4,6,2,0.009792,0.010146,1,0,1,1,0.011609,0.009775,0.009991,0.010146,10000.010008,-9999.989505,0.010053,0.010146,0.009907,0.009907,False,False,1,0.009991,0.009991,0.011609,0.010495
OMG,OMG/USDT,omgusdt,4,4,2,2.5691,2.4692,1,0,1,1,2.795,2.682,2.5507,2.6386,10002.5669,-9997.318,2.5691,2.5981,2.3925,2.3925,False,False,1,2.6386,2.5507,2.795,2.7569
LET,LET/USDT,letusdt,4,6,1,0.00128,0.001313,1,2,1,1,0.001311,0.001311,0.0013,0.001313,10000.0013,0.0013,0.001303,0.001313,0.001205,0.001205,False,False,1,0.0013,0.0013,0.001311,0.001311
STORE,STORE/USDT,storeusdt,4,6,1,0.0,0.128571,1,2,1,0,0.119972,0.119256,0.119044,0.128571,10000.11939,0.119044,0.12712,0.128571,0.12712,0.12712,False,False,1,0.119044,0.119044,0.119972,0.119972
BBF,BBF/USDT,bbfusdt,4,4,2,0.0,0.0,0,0,0,0,28.4982,25.1,27.542,27.542,10027.3538,-9972.4698,27.542,27.542,27.542,27.542,False,False,1,0.0,27.348,28.4982,27.1899
USDD,USDD/USDT,usddusdt,4,4,2,0.0,0.0,0,0,0,0,1.0041,0.9998,1.001,1.001,10001.0011,-9998.9979,1.001,1.001,1.001,1.001,False,False,0,0.0,0.9998,1.0039,1.0026
TUSD,TUSD/USDT,tusdusdt,4,4,2,0.0,0.0,0,1,0,1,1.0012,1.001,1.0012,1.0015,10001.0011,-9998.9987,1.0012,1.0012,1.0012,1.0012,False,False,0,1.0015,1.001,1.0015,1.001
UTK,UTK/USDT,utkusdt,2,4,0,0.1375,0.0,1,0,0,0,0.1669,0.1409,0.1375,0.1382,0.1382,-9999.8506,0.1375,0.1348,0.1348,0.1348,False,False,1,0.1382,0.1375,0.1669,0.1495
WILD,WILD/USDT,wildusdt,4,4,1,0.3439,0.3655,2,1,1,1,0.3577,0.3576,0.3471,0.3641,0.3641,0.3471,0.3551,0.3641,0.337,0.337,False,True,0,0.3471,0.3576,0.3641,0.3576
WTC,WTC/USDT,wtcusdt,4,4,0,0.1956,0.1995,1,2,1,1,0.1999,0.1999,0.1953,0.2002,0.2002,0.1953,0.1953,0.1987,0.1993,0.1993,True,False,1,0.2002,0.1953,0.1999,0.1999
AGLD,AGLD/USDT,agldusdt,4,4,0,0.5642,0.0,1,0,0,0,0.7418,0.5772,0.5642,0.5973,0.5973,-9999.4007,0.5642,0.5199,0.5199,0.5199,False,False,1,0.5237,0.5642,0.7418,0.5942
ETH*3,ETH*3/USDT,eth3lusdt,4,4,0,0.5241,0.5305,1,0,1,0,0.5306,0.5287,0.5241,0.5283,0.5283,-9999.4713,0.5241,0.5283,0.4744,0.4744,False,False,1,0.5189,0.5241,0.5306,0.5299
XMR,XMR/USDT,xmrusdt,4,2,2,186.06,177.03,0,1,1,1,187.77,183.61,186.06,188.86,10186.77,-9813.51,186.06,180.54,172.22,172.22,False,False,0,188.86,183.61,188.86,187.21
ELA,ELA/USDT,elausdt,2,4,0,1.88,0.0,1,0,0,0,1.9909,1.9237,1.88,1.9608,1.9608,-9998.0365,1.88,1.9241,1.863,1.863,False,False,1,1.9608,1.88,1.9909,1.9674
SXP,SXP/USDT,sxpusdt,4,4,0,0.4894,0.4735,1,2,1,1,0.5019,0.4939,0.4908,0.529,0.529,0.4908,0.4908,0.5023,0.4611,0.4611,True,False,1,0.529,0.4908,0.5019,0.4995
PRQ,PRQ/USDT,prqusdt,4,4,0,0.1177,0.0,2,1,0,1,0.1253,0.1224,0.1177,0.1266,0.1266,-9999.874,0.1177,0.1188,0.121,0.121,False,False,0,0.1266,0.1224,0.1266,0.1247
ANKR,ANKR/USDT,ankrusdt,2,6,0,0.040063,0.042513,1,0,1,0,0.041518,0.041152,0.040063,0.040454,0.040454,-9999.958848,0.040063,0.040454,0.036831,0.036831,False,False,1,0.041492,0.040063,0.041518,0.041318
ACT,ACT/USDT,actusdt,2,6,1,0.003002,0.00311,0,1,0,1,0.003001,0.003001,0.003036,0.00311,10000.003001,0.003036,0.003036,0.00311,0.002995,0.002995,False,False,0,0.00324,0.003001,0.00311,0.003001
YFII,YFII/USDT,yfiiusdt,4,4,0,1193.3466,1185.1404,1,2,1,1,1212.9409,1206.1289,1190.3496,1226.775,1226.775,1190.3496,1190.3496,1204.3289,1188.9858,1188.9858,True,False,1,1226.775,1190.3496,1212.9409,1208.3566
PLU,PLU/USDT,pluusdt,4,4,0,0.0,0.0,2,0,0,1,9.6413,9.1796,9.0799,9.2645,9.2645,-9990.676,9.0799,9.0799,9.0799,9.0799,False,False,0,9.2645,9.1796,9.2645,9.324
ALICE,ALICE/USDT,aliceusdt,4,4,2,3.0517,3.0517,1,2,1,1,3.0743,3.0714,2.9815,3.1323,10002.9918,2.9815,3.0517,3.042,2.8431,2.8431,False,False,1,3.1323,2.9815,3.0743,3.0714
SNT,SNT/USDT,sntusdt,4,6,0,0.035343,0.035402,1,2,1,1,0.036148,0.035912,0.035651,0.036288,0.036288,0.035651,0.035651,0.036288,0.033818,0.033818,True,True,1,0.036867,0.035651,0.036148,0.036098
INV,INV/USDT,invusdt,6,2,0,104.28,118.95,2,1,1,1,106.33,105.99,104.28,111.0,111.0,-9889.0,104.28,105.32,97.0,97.0,False,False,0,111.0,105.99,111.0,106.32
ZBC,ZBC/USDT,zbcusdt,4,6,2,0.0,0.0,2,0,0,1,0.017984,0.016641,0.016854,0.017616,0.017616,-9999.982545,0.017334,0.017334,0.017334,0.017334,False,False,0,0.017389,0.016641,0.017616,0.017513
GARI,GARI/USDT,gariusdt,2,6,1,0.0,0.657163,1,2,1,1,0.656687,0.646791,0.6465,0.657163,10000.653994,0.6465,0.656334,0.657163,0.656334,0.656334,False,False,1,0.6465,0.6465,0.656687,0.650097
