Coin,Name,Symbol,PCoin,PPrice,Trend_5M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice
NYM,NYM/USDT,nymusdt,4,4,0,0.48,0.0,2,1,0,1,0.4928,0.4811,0.48,0.5097,0.5097,-9999.5044,0.48,0.4945,0.4466,0.4466,False,False,0,0.5097,0.4811,0.5097
YFI,YFI/USDT,yfiusdt,6,2,2,9124.75,9034.59,1,0,1,1,9065.07,9028.32,8998.71,9034.59,19017.57,-971.6800000000003,9016.64,9034.59,9205.59,9205.59,False,False,1,8998.71,8998.71,9065.07
MDS,MDS/USDT,mdsusdt,2,6,0,0.0,0.0,1,0,0,0,0.000305,0.000294,0.000282,0.000282,0.000282,-9999.999706,0.000282,0.000282,0.000282,0.000282,False,False,1,0.0,0.000282,0.000305
AKRO,AKRO/USDT,akrousdt,2,5,0,0.00338,0.00343,1,2,1,1,0.00342,0.00341,0.00338,0.00342,0.00342,0.00338,0.00338,0.0034,0.00335,0.00335,True,False,1,0.00342,0.00338,0.00342
SNS,SNS/USDT,snsusdt,2,6,2,0.0,0.0,1,0,0,0,0.029903,0.029903,0.029103,0.029906,10000.029103,0.029906,0.029906,0.029906,0.029906,0.029906,False,False,1,0.0,0.029103,0.029903
CVX,CVX/USDT,cvxusdt,4,4,1,0.0,10.0676,1,2,1,0,9.6458,9.5725,9.5728,10.0676,10009.5728,9.5728,9.9029,10.0676,9.9029,9.9029,False,False,1,9.5728,9.5728,9.6458
1INCH,1INCH/USDT,1inchusdt,4,6,0,0.921402,0.925472,1,0,1,0,0.928856,0.924449,0.921402,0.926322,0.926322,-9999.073455,0.921402,0.926322,0.913958,0.913958,False,False,1,0.918217,0.921402,0.928856
WAXP,WAXP/USDT,waxpusdt,2,6,0,0.122748,0.122183,2,1,1,1,0.12411,0.123817,0.122748,0.125826,0.125826,-9999.875096,0.122748,0.122677,0.119648,0.119648,False,False,0,0.125826,0.123817,0.125826
XCAD,XCAD/USDT,xcadusdt,4,4,0,2.9733,3.1013,1,0,1,0,3.2819,3.1977,2.9733,3.0915,3.0915,-9996.7959,2.9733,3.0915,2.8811,2.8811,False,False,1,2.9567,2.9733,3.2819
GMT,GMT/USDT,gmtusdt,4,4,1,0.0,1.3541,0,1,0,1,1.3396,1.3175,1.3348,1.3541,10001.3302,1.3348,1.3348,1.3541,1.3456,1.3456,False,False,0,1.3074,1.3175,1.3541
FTI,FTI/USDT,ftiusdt,2,8,2,0.0,0.0,0,2,0,0,5.837e-05,5.535e-05,5.557e-05,5.947e-05,10000.00005572,5.557e-05,5.79e-05,5.79e-05,5.79e-05,5.79e-05,False,False,1,0.0,5.557e-05,5.837e-05
TRIBE,TRIBE/USDT,tribeusdt,4,4,1,0.2503,0.2515,2,1,1,1,0.25,0.25,0.2492,0.2503,0.2503,0.2492,0.2515,0.2503,0.2504,0.2504,False,True,0,0.2492,0.25,0.2503
PVT,PVT/USDT,pvtusdt,2,8,2,0.0,0.0,0,0,0,0,2.896e-05,2.75e-05,2.878e-05,2.878e-05,10000.00002833,-9999.99997129,2.878e-05,2.878e-05,2.878e-05,2.878e-05,False,False,0,0.0,2.75e-05,2.899e-05
UIP,UIP/USDT,uipusdt,2,6,2,0.0,0.0,2,1,0,0,0.000342,0.000337,0.000337,0.000347,0.000347,-9999.999653,0.000336,0.000336,0.000336,0.000336,False,False,0,0.0,0.000337,0.000347
NANO,NANO/USDT,nanousdt,4,4,2,1.1026,1.1068,1,2,1,1,1.1063,1.1063,1.0896,1.1139,10001.0959,1.0896,1.1026,1.1093,1.0802,1.0802,False,False,1,1.1139,1.0896,1.1063
SPRT,SPRT/USDT,sprtusdt,4,4,2,0.0,0.0,0,0,0,0,0.5089,0.4564,0.5021,0.5021,10000.4994,-9999.4951,0.5021,0.5021,0.5021,0.5021,False,False,0,0.0,0.4564,0.5048
NSURE,NSURE/USDT,nsureusdt,4,4,2,0.0,0.0,1,2,0,0,0.0224,0.0208,0.0207,0.0233,10000.0209,0.0207,0.0233,0.0233,0.0233,0.0233,False,False,1,0.0,0.0207,0.0224
WPCI,WPCI/USDT,wpciusdt,4,4,2,0.0,0.0,1,2,0,0,0.3952,0.3918,0.3921,0.3952,10000.3944,0.3921,0.3944,0.3944,0.3944,0.3944,False,False,1,0.0,0.3921,0.3952
USDT,USDT/BRL,usdtbrl,1,3,0,4.884,4.925,1,0,1,0,5.188,4.924,4.884,4.924,4.924,-9995.075,4.884,4.924,4.925,4.925,False,False,1,4.885,4.884,5.188
EPIK,EPIK/USDT,epikusdt,4,6,1,0.024093,0.022802,0,1,0,1,0.022061,0.021,0.022474,0.022802,10000.021644,0.022474,0.022723,0.022802,0.02314,0.02314,False,False,0,0.022474,0.021,0.022802
LOVE,LOVE/USDT,loveusdt,2,8,0,0.00589357,0.00595676,2,0,1,0,0.00596771,0.00588899,0.00589357,0.00591056,0.00591056,-9999.99409702,0.00589357,0.00591056,0.00594019,0.00594019,False,False,0,0.00589213,0.00588899,0.00591056
YEE,YEE/USDT,yeeusdt,2,6,2,0.0,0.0,1,2,0,0,0.000241,0.00022,0.000217,0.000266,0.000266,0.000217,0.000217,0.0002,0.0002,0.0002,True,False,1,0.0,0.000217,0.000241
BIT,BIT/USDT,bitusdt,4,4,2,0.0,0.0,0,0,0,0,0.8199,0.7803,0.8059,0.8059,10000.8052,-9999.1927,0.8059,0.8059,0.8059,0.8059,False,False,0,0.0,0.7803,0.8059
CHZ,CHZ/USDT,chzusdt,4,6,2,0.118071,0.119279,1,0,1,1,0.119478,0.119281,0.118738,0.119279,10000.119016,-9999.880719,0.118828,0.119279,0.116841,0.116841,False,False,1,0.118738,0.118738,0.119478
STF,STF/USDT,stfusdt,4,4,2,0.0107,0.0109,1,2,1,1,0.0111,0.0111,0.0109,0.012,0.012,0.0109,0.0109,0.012,0.0113,0.0113,True,True,1,0.0107,0.0109,0.0111
MPL,MPL/USDT,mplusdt,4,4,2,0.0,0.0,1,0,0,0,24.3068,24.3068,24.1121,24.4338,10024.1121,24.4338,24.4338,24.4338,24.4338,24.4338,False,False,1,0.0,24.1121,24.3068
CUDOS,CUDOS/USDT,cudosusdt,4,6,2,0.01048,0.0,0,1,0,1,0.014697,0.010288,0.01048,0.015731,10000.010506,-9999.988559,0.01048,0.01042,0.01042,0.01042,False,False,0,0.015731,0.010288,0.015731
XMR,XMR/USDT,xmrusdt,4,2,0,174.43,175.63,1,0,1,0,176.32,175.21,174.43,176.18,176.18,-9824.79,174.43,175.65,178.0,178.0,False,False,1,176.18,174.43,176.32
PLATO,PLATO/USDT,platousdt,4,6,2,0.006858,0.0,0,1,0,1,0.006797,0.006702,0.006858,0.007176,10000.006774,-9999.992872,0.006858,0.006999,0.006947,0.006947,False,False,0,0.007176,0.006702,0.007176
T,T/USDT,tusdt,4,4,1,0.0,0.0487,1,2,1,1,0.0484,0.048,0.0479,0.0487,10000.048,0.0479,0.0481,0.0487,0.0489,0.0489,False,False,1,0.0479,0.0479,0.0484
WIN,WIN/USDT,winusdt,2,8,0,0.00014232,0.00014181,1,0,1,0,0.00014413,0.00014363,0.00014232,0.00014291,0.00014291,-9999.99985637,0.00014232,0.00014181,0.00014045,0.00014045,False,False,1,0.00014291,0.00014237,0.00014413
NT,NT/USDT,ntusdt,4,6,0,0.0087,0.0,1,0,0,0,0.0095,0.0094,0.0087,0.0094,0.0094,-9999.9905,0.0087,0.0087,0.0087,0.0087,False,False,1,0.0094,0.0087,0.0095
JST,JST/USDT,jstusdt,2,6,0,0.038918,0.039203,1,0,1,0,0.039404,0.039306,0.038918,0.039318,0.039318,-9999.960694,0.038918,0.039203,0.038856,0.038856,False,False,1,0.038915,0.038918,0.039404
FOX,FOX/USDT,foxusdt,4,4,2,0.1598,0.1663,1,2,1,1,0.162,0.1566,0.1477,0.174,10000.1598,0.1477,0.1598,0.1638,0.1547,0.1547,False,False,1,0.174,0.1477,0.162
AKT,AKT/USDT,aktusdt,4,4,2,0.0,0.0,0,1,0,0,0.4549,0.4447,0.4452,0.4601,10000.4549,-9999.5459,0.4513,0.4513,0.4513,0.4513,False,False,0,0.0,0.4447,0.4601
JASMY,JASMY/USDT,jasmyusdt,4,6,2,0.011588,0.011956,1,2,1,1,0.011864,0.011816,0.011777,0.011913,0.011913,0.011777,0.011777,0.011913,0.011304,0.011304,True,True,1,0.011675,0.011777,0.011864
CRE,CRE/USDT,creusdt,2,6,0,0.0,0.0,1,0,0,0,0.005181,0.005181,0.005055,0.005055,0.005055,-9999.994819,0.005055,0.005055,0.005055,0.005055,False,False,1,0.0,0.005055,0.005181
BRWL,BRWL/USDT,brwlusdt,4,6,2,0.0,0.0,0,1,0,0,0.018754,0.016796,0.017922,0.018626,10000.01786,-9999.982183,0.017922,0.017922,0.017922,0.017922,False,False,0,0.0,0.016796,0.018626
RVN,RVN/USDT,rvnusdt,2,6,0,0.029238,0.029434,1,0,1,0,0.029395,0.029329,0.029238,0.029363,0.029363,-9999.970671,0.029238,0.029363,0.029203,0.029203,False,False,1,0.029121,0.029238,0.029395
UNI*2,UNI*2/USDT,uni2lusdt,4,6,0,0.0722,0.0,2,1,0,1,0.072528,0.072423,0.0722,0.0738,0.0738,-9999.9262,0.0722,0.0688,0.0688,0.0688,False,False,0,0.0738,0.072423,0.0738
VET,VET/USDT,vetusdt,4,6,0,0.03004,0.030528,1,0,1,0,0.030311,0.030208,0.03004,0.030282,0.030259,-9999.969792,0.03004,0.030282,0.029999,0.029999,False,False,1,0.030393,0.03004,0.030311
EGT,EGT/USDT,egtusdt,2,6,2,0.0,0.0,1,2,0,0,0.000324,0.000307,0.000305,0.000323,0.000323,0.000305,0.000305,0.000321,0.000321,0.000321,True,False,1,0.0,0.000305,0.000324
SMT,SMT/USDT,smtusdt,4,6,2,0.0,0.0,0,1,0,1,0.002279,0.002047,0.002293,0.002565,10000.002255,-9999.997436,0.002293,0.002293,0.002293,0.002293,False,False,0,0.002565,0.002047,0.002565
RAIN,RAIN/USDT,rainusdt,4,4,1,0.1354,0.1373,2,1,1,1,0.1364,0.1254,0.1266,0.1363,0.1357,0.1266,0.1354,0.1363,0.1375,0.1375,False,True,0,0.1266,0.1254,0.1357
1SOL,1SOL/USDT,1solusdt,4,4,2,0.1065,0.0,0,1,0,0,0.1084,0.1043,0.1065,0.1076,10000.1062,-9999.8934,0.1065,0.1064,0.1064,0.1064,False,False,0,0.0,0.1043,0.1076
WOO,WOO/USDT,woousdt,2,5,2,0.19121,0.19457,1,2,1,1,0.192,0.19015,0.18954,0.19239,0.19239,0.18954,0.18954,0.19239,0.18806,0.18806,True,True,1,0.19217,0.18954,0.192
CERE,CERE/USDT,cereusdt,4,6,2,0.0,0.0,0,1,0,0,0.009801,0.009515,0.009836,0.009899,10000.009655,-9999.990178,0.009836,0.009836,0.009836,0.009836,False,False,0,0.0,0.009515,0.009899
ENS,ENS/USDT,ensusdt,4,4,2,12.5945,12.8951,1,2,1,1,12.9215,12.7779,12.7275,12.9588,12.9588,12.7275,12.7275,12.9588,12.4226,12.4226,True,True,1,12.7317,12.7275,12.9215
SOS,SOS/USDT,sosusdt,2,8,0,0.0,0.0,0,0,0,0,4.1e-07,3.5e-07,3.5e-07,3.5e-07,3.5e-07,-9999.99999962,3.5e-07,3.5e-07,3.5e-07,3.5e-07,False,False,0,0.0,3.5e-07,3.5e-07
ICX,ICX/USDT,icxusdt,4,4,2,0.3537,0.3568,2,1,1,1,0.3558,0.3547,0.3522,0.357,0.357,0.3522,0.3558,0.357,0.3465,0.3465,False,True,0,0.3548,0.3547,0.357
AGLD,AGLD/USDT,agldusdt,4,4,0,0.5457,0.5452,1,0,1,0,0.5488,0.5488,0.5457,0.5484,0.5484,-9999.4512,0.5457,0.5427,0.5074,0.5074,False,False,1,0.5484,0.5457,0.5488
ORB,ORB/USDT,orbusdt,4,6,0,0.096104,0.09636,1,0,1,0,0.108226,0.095511,0.096104,0.096546,0.096546,-9999.902663,0.096104,0.09636,0.095187,0.095187,False,False,1,0.096546,0.096104,0.108226
XCUR,XCUR/USDT,xcurusdt,4,4,1,0.0,0.1523,0,1,0,0,0.1481,0.1451,0.1477,0.1523,10000.1467,0.148,0.1477,0.1523,0.1472,0.1472,False,False,0,0.0,0.1451,0.1523
DOT,DOT/USDT,dotusdt,4,4,1,9.6825,9.789,1,2,1,1,9.7669,9.7384,9.6992,9.7648,9.7648,9.6992,9.6992,9.7648,9.6797,9.6797,True,True,1,9.6713,9.6992,9.7669
UUU,UUU/USDT,uuuusdt,2,8,2,0.0,0.0,1,2,0,0,3.379e-05,3.237e-05,3.205e-05,3.464e-05,10000.000033,3.205e-05,3.394e-05,3.394e-05,3.394e-05,3.394e-05,False,False,1,0.0,3.205e-05,3.379e-05
VALUE,VALUE/USDT,valueusdt,4,4,0,0.1604,0.1644,1,2,1,1,0.169,0.1678,0.1574,0.1846,0.1846,0.1574,0.1574,0.1606,0.1619,0.1619,True,False,1,0.1846,0.1574,0.169
FX,FX/USDT,fxusdt,4,4,2,0.0,0.0,0,0,0,0,0.2765,0.2602,0.2692,0.2692,10000.2664,-9999.7336,0.2692,0.2692,0.2692,0.2692,False,False,0,0.0,0.2602,0.2735
USDT,USDT/HUSD,usdthusd,4,4,2,0.0,0.0,0,0,0,0,0.999,0.9986,0.9989,0.9989,10000.9987,0.9989,0.9989,0.9989,0.9989,0.9989,False,False,0,0.0,0.9986,0.999
ZRX,ZRX/USDT,zrxusdt,2,4,0,0.422,0.4266,1,0,1,0,0.4245,0.4223,0.422,0.4228,0.4228,-9999.5777,0.422,0.4228,0.4454,0.4454,False,False,1,0.4238,0.422,0.4245
CTSI,CTSI/USDT,ctsiusdt,2,4,1,0.1853,0.186,1,2,1,1,0.1852,0.1846,0.1835,0.186,10000.1837,0.1835,0.1855,0.186,0.1838,0.1838,False,False,1,0.1835,0.1835,0.1852
VOXEL,VOXEL/USDT,voxelusdt,4,4,1,0.0,0.6237,1,2,1,0,0.6081,0.604,0.5875,0.6237,10000.5915,0.5875,0.6061,0.6237,0.5809,0.5809,False,False,1,0.5875,0.5875,0.6081
KSM,KSM/USDT,ksmusdt,3,4,1,74.9259,74.7933,1,2,1,1,74.723,74.4874,73.574,74.9802,74.9802,73.574,73.574,74.9802,75.2226,75.2226,True,True,1,73.743,73.574,74.723
ENJ,ENJ/USDT,enjusdt,4,4,0,0.6744,0.6735,1,0,1,0,0.6798,0.6778,0.6744,0.6796,0.6785,-9999.3222,0.6744,0.6796,0.6635,0.6635,False,False,1,0.6658,0.6744,0.6798
ZKP,ZKP/USDT,zkpusdt,4,4,1,0.0,0.1549,0,1,0,0,0.1533,0.1533,0.1541,0.1549,10000.1533,0.1541,0.1586,0.1549,0.1586,0.1586,False,False,0,0.1541,0.1533,0.1549
ZIG,ZIG/USDT,zigusdt,4,6,0,0.019755,0.0,1,0,0,0,0.020442,0.019959,0.019755,0.019908,0.019908,-9999.979887,0.019755,0.019908,0.019551,0.019551,False,False,1,0.020326,0.019755,0.020442
INSUR,INSUR/USDT,insurusdt,4,4,2,0.0,0.3184,1,0,1,0,0.3399,0.3042,0.3011,0.3184,10000.3046,-9999.672,0.3074,0.3184,0.3171,0.3171,False,False,1,0.3011,0.3011,0.3399
SNX,SNX/USDT,snxusdt,2,4,2,2.533,2.574,1,2,1,1,2.5519,2.5486,2.5246,2.5579,10002.5305,2.5246,2.533,2.5401,2.5302,2.5302,False,False,1,2.5579,2.5246,2.5519
PHCR,PHCR/USDT,phcrusdt,4,6,0,0.00019,0.0,1,2,0,1,0.000194,0.000194,0.000192,0.000194,0.000194,0.000192,0.000192,0.000192,0.000192,0.000192,True,False,1,0.000194,0.000192,0.000194
UPI,UPI/USDT,upiusdt,4,4,2,0.0,0.0,0,0,0,1,0.0385,0.0299,0.031,0.0323,10000.0309,-9999.9682,0.0311,0.0311,0.0311,0.0311,False,False,0,0.0323,0.0299,0.0323
NKN,NKN/USDT,nknusdt,2,6,0,0.095919,0.096786,1,0,1,0,0.09653,0.09653,0.095919,0.096445,0.096445,-9999.90347,0.095919,0.096445,0.095366,0.095366,False,False,1,0.09536,0.095919,0.09653
BADGER,BADGER/USDT,badgerusdt,4,4,2,0.0,5.4792,2,0,1,1,5.8488,5.5104,5.3854,5.64,5.64,-9994.3528,5.5343,5.4792,5.5346,5.5346,False,False,0,5.3854,5.5104,5.64
AR,AR/USDT,arusdt,2,4,0,14.3043,14.7159,1,0,1,0,14.4661,14.4211,14.3043,14.4213,14.4213,-9985.5789,14.3043,14.4066,14.4629,14.4629,False,False,1,14.4213,14.3043,14.4661
RANKER,RANKER/USDT,rankerusdt,4,6,1,0.013448,0.015255,1,2,1,1,0.014644,0.013809,0.014,0.015255,10000.014336,0.014,0.01437,0.015255,0.01438,0.01438,False,False,1,0.014,0.014,0.014644
XRP,XRP/USDT,xrpusdt,2,5,0,0.40949,0.41445,1,0,1,0,0.41303,0.41035,0.40949,0.41132,0.41132,-9999.58858,0.40949,0.41132,0.40998,0.40998,False,False,1,0.41321,0.40949,0.41303
ETH*(-1),ETH*(-1)/USDT,eth1susdt,4,4,2,0.0,0.0,0,0,0,0,0.3488,0.3488,0.3521,0.3521,10000.3488,0.3521,0.3521,0.3521,0.3521,0.3521,False,False,0,0.0,0.3488,0.3521
SDN,SDN/USDT,sdnusdt,2,4,2,0.0,0.0,0,1,0,1,0.385,0.3764,0.3889,0.396,10000.3823,-9999.6053,0.3889,0.3889,0.3889,0.3889,False,False,0,0.396,0.3764,0.396
HOT,HOT/USDT,hotusdt,2,6,2,0.001976,0.001999,1,0,1,1,0.00205,0.002023,0.001967,0.001999,10000.001967,-9999.99795,0.001974,0.001999,0.00205,0.00205,False,False,1,0.001967,0.001967,0.00205
AURORA,AURORA/USDT,aurorausdt,4,4,1,3.5418,3.6813,0,1,0,1,3.6979,3.5651,3.5955,3.6813,10003.6156,3.5955,3.5974,3.6813,3.6278,3.6278,False,False,0,3.5955,3.5651,3.6746
NODE,NODE/USDT,nodeusdt,2,6,0,2.9e-05,0.0,2,1,0,1,3.1e-05,3.1e-05,2.9e-05,3.3e-05,3.3e-05,-9999.999967,2.9e-05,2.9e-05,2.9e-05,2.9e-05,False,False,0,3.3e-05,3.1e-05,3.3e-05
SRM,SRM/USDT,srmusdt,4,4,0,1.0982,1.0983,1,0,1,0,1.1016,1.1014,1.0982,1.0998,1.0998,-9998.8986,1.0982,1.0998,1.0935,1.0935,False,False,1,1.0859,1.0982,1.1016
UST,UST/USDT,ustusdt,4,4,0,0.0557,0.059,2,1,1,1,0.0573,0.0564,0.0557,0.0575,0.0575,-9999.9429,0.0557,0.0564,0.0641,0.0641,False,False,0,0.0575,0.0564,0.0575
RSR,RSR/USDT,rsrusdt,2,6,1,0.004212,0.004377,1,2,1,1,0.004322,0.004294,0.004275,0.00438,0.00438,0.004275,0.004275,0.00438,0.004181,0.004181,True,True,1,0.004269,0.004275,0.004322
BABYDOGE,BABYDOGE/USDT,babydogeusdt,2,12,0,1.54e-09,1.502e-09,1,2,1,1,1.785e-09,1.69e-09,1.576e-09,1.9e-09,1.9e-09,1.576e-09,1.576e-09,1.548e-09,1.461e-09,1.461e-09,True,False,1,1.9e-09,1.576e-09,1.785e-09
CRO,CRO/USDT,crousdt,2,6,0,0.185222,0.186817,1,2,1,1,0.187097,0.18664,0.186236,0.187196,0.187196,0.186236,0.186236,0.187196,0.186718,0.186718,True,True,1,0.187156,0.186236,0.187097
MX,MX/USDT,mxusdt,2,4,1,1.5267,1.5451,0,2,0,1,1.5351,1.5059,1.5059,1.5451,1.5451,1.5183,1.5059,1.5451,1.5153,1.5153,True,False,1,1.5028,1.5183,1.5351
BTC*(-3),BTC*(-3)/USDT,btc3susdt,4,8,2,0.00023007,0.00022899,1,2,1,1,0.00023116,0.00023116,0.00023088,0.00023121,0.00023121,0.00023088,0.00023088,0.00023121,0.00023402,0.00023402,True,True,1,0.0002306,0.00023088,0.00023116
BNT,BNT/USDT,bntusdt,2,4,2,1.3586,1.3559,2,1,1,1,1.3541,1.3527,1.3472,1.3549,1.3549,1.3472,1.3472,1.3549,1.3571,1.3571,True,True,0,1.3465,1.3527,1.3549
ZEC*(-3),ZEC*(-3)/USDT,zec3susdt,4,10,0,1.162e-07,0.0,1,0,0,0,1.233e-07,1.233e-07,1.162e-07,1.2e-07,1.2e-07,-9999.9999998767,1.162e-07,1.119e-07,1.116e-07,1.116e-07,False,False,1,1.2e-07,1.162e-07,1.233e-07
GRT,GRT/USDT,grtusdt,4,6,0,0.151913,0.153431,1,2,1,1,0.154131,0.15363,0.152752,0.15423,0.15423,0.152752,0.152752,0.153328,0.150273,0.150273,True,False,1,0.15423,0.152752,0.154131
XTZ,XTZ/USDT,xtzusdt,4,4,0,1.7778,1.7622,1,0,1,0,1.7916,1.786,1.7778,1.7845,1.7845,-9998.2113,1.7778,1.7845,1.7091,1.7091,False,False,1,1.7937,1.7778,1.7916
ZEN,ZEN/USDT,zenusdt,4,4,2,19.8909,19.9827,1,0,1,1,20.1071,20.068,19.8791,20.0548,10019.8792,-9979.932,19.9578,19.9827,19.8306,19.8306,False,False,1,19.9247,19.8791,20.1071
BCH*3,BCH*3/USDT,bch3lusdt,4,8,1,0.000199,0.000205,2,1,1,1,0.0002,0.000197,0.00019674,0.000199,0.000198,0.00019674,0.00020067,0.000199,0.000203,0.000203,False,True,0,0.00019674,0.000197,0.000198
LINA,LINA/USDT,linausdt,4,6,1,0.008879,0.008805,1,2,1,1,0.008745,0.008689,0.00868,0.00875,0.00875,0.00868,0.00868,0.00875,0.00877,0.00877,True,True,1,0.008548,0.00868,0.008745
TITAN,TITAN/USDT,titanusdt,4,6,1,2.579093,2.578,0,1,0,1,2.543644,2.543644,2.576995,2.578,10002.543644,2.576995,2.576995,2.578,2.621282,2.621282,False,False,0,2.628735,2.543644,2.578
CLV,CLV/USDT,clvusdt,4,4,0,0.1436,0.1443,1,0,1,0,0.1449,0.1449,0.1436,0.1441,0.1441,-9999.8551,0.1436,0.1441,0.1448,0.1448,False,False,1,0.1439,0.1436,0.1449
UNFI,UNFI/USDT,unfiusdt,4,4,0,2.0798,2.1682,2,1,1,1,2.2277,2.1678,2.0798,2.265,2.265,-9997.7718,2.0798,2.1382,2.0936,2.0936,False,False,0,2.265,2.1678,2.265
ZKS,ZKS/USDT,zksusdt,4,4,2,0.0555,0.0558,2,1,1,1,0.0575,0.0552,0.0545,0.056,0.056,-9999.944,0.0555,0.0558,0.0557,0.0557,False,False,0,0.0545,0.0552,0.056
PYR,PYR/USDT,pyrusdt,4,4,1,4.3534,4.4489,0,1,0,1,4.4487,4.442,4.447,4.4489,10004.4421,4.447,4.4769,4.4489,4.4533,4.4533,False,False,0,4.447,4.442,4.4489
REVV,REVV/USDT,revvusdt,4,6,2,0.0,0.0,0,0,0,0,0.02846,0.026966,0.027865,0.028024,10000.027904,-9999.972068,0.027865,0.027865,0.027865,0.027865,False,False,0,0.0,0.026966,0.028024
CMT,CMT/USDT,cmtusdt,4,6,1,0.003627,0.003923,0,1,0,1,0.003513,0.003513,0.003514,0.003923,10000.003513,0.003514,0.003627,0.003923,0.003539,0.003539,False,False,0,0.003514,0.003513,0.003923
OCEAN,OCEAN/USDT,oceanusdt,4,4,2,0.2142,0.2168,1,2,1,1,0.2164,0.2163,0.2163,0.2166,0.2166,0.2163,0.2163,0.2166,0.2084,0.2084,True,True,1,0.2138,0.2163,0.2164
CEL,CEL/USDT,celusdt,4,4,1,0.0,0.771,0,1,0,0,0.7644,0.7557,0.7663,0.771,10000.764,0.7663,0.7663,0.771,0.7798,0.7798,False,False,0,0.0,0.7557,0.771
LINK,LINK/USDT,linkusdt,2,4,0,6.9665,7.0058,1,0,1,0,7.0068,6.9947,6.9665,6.9894,6.9894,-9993.0053,6.9665,6.9894,6.8905,6.8905,False,False,1,6.9485,6.9665,7.0068
AUDIO,AUDIO/USDT,audiousdt,4,4,0,0.4055,0.4136,1,0,1,0,0.4148,0.4113,0.4055,0.4137,0.4137,-9999.5887,0.4055,0.4137,0.4069,0.4069,False,False,1,0.4035,0.4055,0.4148
SIS,SIS/USDT,sisusdt,4,4,2,0.2744,0.2799,0,2,1,1,0.2848,0.2658,0.2661,0.284,10000.2761,0.2661,0.2747,0.2799,0.2689,0.2689,False,False,1,0.2744,0.2661,0.2848
DOCK,DOCK/USDT,dockusdt,2,6,0,0.020294,0.020148,1,0,1,0,0.020582,0.020582,0.020294,0.020313,0.020313,-9999.979418,0.020294,0.020148,0.020609,0.020609,False,False,1,0.020313,0.020294,0.020582
DTA,DTA/USDT,dtausdt,4,8,2,0.0,0.0,2,1,0,1,3.568e-05,3.568e-05,3.439e-05,3.569e-05,3.569e-05,3.439e-05,3.541e-05,3.569e-05,3.541e-05,3.541e-05,False,True,0,3.685e-05,3.568e-05,3.569e-05
GCOIN,GCOIN/USDT,gcoinusdt,4,4,2,0.0,0.0,1,0,0,0,0.1902,0.1902,0.1754,0.1788,10000.1754,-9999.8098,0.1788,0.1788,0.1788,0.1788,False,False,1,0.0,0.1754,0.1902
STG,STG/USDT,stgusdt,4,4,2,0.0,0.0,1,0,0,0,0.6323,0.6006,0.6104,0.6186,10000.6202,-9999.3789,0.6186,0.6186,0.6186,0.6186,False,False,1,0.0,0.6104,0.6323
SC,SC/USDT,scusdt,2,6,2,0.00498,0.005044,1,2,1,1,0.005006,0.005001,0.004947,0.005021,10000.004948,0.004947,0.00498,0.004994,0.004959,0.004959,False,False,1,0.005021,0.004947,0.005006
USDC,USDC/USDT,usdcusdt,4,4,0,0.0,0.0,1,0,0,0,1.0014,1.0012,1.0012,1.0012,1.0012,-9998.9987,1.0012,1.0012,1.0012,1.0012,False,False,1,0.0,1.0012,1.0014
SMCW,SMCW/USDT,smcwusdt,4,4,1,0.0,0.0691,0,1,0,1,0.0669,0.0663,0.0679,0.0691,10000.0667,0.0679,0.0695,0.0691,0.0695,0.0695,False,False,0,0.0701,0.0663,0.0691
ANC,ANC/USDT,ancusdt,4,4,0,0.0814,0.0865,1,0,1,0,0.0883,0.0831,0.0814,0.0858,0.0858,-9999.9142,0.0814,0.0834,0.0927,0.0927,False,False,1,0.0858,0.0814,0.0883
HEC,HEC/USDT,hecusdt,4,4,2,0.3078,0.3121,0,1,1,1,0.317,0.301,0.3078,0.3169,10000.317,-9999.6843,0.3078,0.3121,0.3124,0.3124,False,False,0,0.3169,0.301,0.3169
FIL,FIL/USDT,filusdt,4,4,1,7.9249,8.0215,1,2,1,1,8.0408,7.993,7.9642,8.0215,10007.9844,7.9642,7.9764,8.0215,7.8604,7.8604,False,False,1,7.9642,7.9642,8.0408
AE,AE/USDT,aeusdt,2,4,0,0.0827,0.0837,1,2,1,1,0.096,0.0789,0.0789,0.1042,0.1042,0.0833,0.0789,0.0837,0.0831,0.0831,True,False,1,0.1042,0.0833,0.096
CAW,CAW/USDT,cawusdt,2,12,1,0.0,6.2699e-08,0,1,0,1,5.81e-08,5.6e-08,6.005e-08,6.2699e-08,10000.0000000581,6.005e-08,6.6999e-08,6.2699e-08,6.6999e-08,6.6999e-08,False,False,0,6.005e-08,5.6e-08,6.2699e-08
USDT,USDT/TRY,usdttry,4,3,2,0.0,0.0,1,2,0,1,16.073,15.632,15.632,16.073,10015.632,15.632,15.922,15.922,15.922,15.922,False,False,1,16.073,15.632,16.073
EDEN,EDEN/USDT,edenusdt,4,4,2,0.1265,0.1281,1,0,1,1,0.129,0.1285,0.1258,0.1281,10000.1261,-9999.8715,0.1268,0.1281,0.1276,0.1276,False,False,1,0.1258,0.1258,0.129
