Coin,Name,Symbol,PCoin,PPrice,Trend_5M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice
TRB,TRB/USDT,trbusdt,4,4,0,10.1628,10.2943,1,0,1,0,10.309,10.2337,10.1628,10.2275,10.2275,-9989.7663,10.1628,10.2275,10.152,10.152,False,False,1,10.0974,10.1628,10.309
NPT,NPT/USDT,nptusdt,4,4,0,2.6704,0.0,1,0,0,0,2.6874,2.6874,2.6704,2.6873,2.6873,-9997.3126,2.6704,2.6873,2.7156,2.7156,False,False,1,2.6875,2.6704,2.6874
BICO,BICO/USDT,bicousdt,4,4,1,0.7009,0.6947,1,2,1,1,0.692,0.6857,0.6774,0.6947,10000.6865,0.6774,0.7082,0.6947,0.6898,0.6898,False,False,1,0.6774,0.6774,0.692
KAI,KAI/USDT,kaiusdt,4,6,2,0.0,0.0,1,0,0,0,0.016883,0.015411,0.013435,0.0145,10000.013435,-9999.984293,0.0145,0.0145,0.0145,0.0145,False,False,1,0.0,0.013435,0.016883
GEAR,GEAR/USDT,gearusdt,4,4,0,0.0,0.0,2,1,0,1,0.0234,0.0234,0.0173,0.027,0.027,-9999.9743,0.019,0.019,0.019,0.019,False,False,0,0.027,0.0234,0.027
SWFTC,SWFTC/USDT,swftcusdt,2,6,1,0.001155,0.001177,2,1,1,1,0.001168,0.00115,0.001147,0.001169,0.001169,0.001147,0.001147,0.001169,0.001166,0.001166,True,True,0,0.001146,0.00115,0.001169
UTK,UTK/USDT,utkusdt,2,4,0,0.1376,0.1366,1,0,1,0,0.1628,0.154,0.1376,0.1379,0.1379,-9999.846,0.1376,0.1379,0.1353,0.1353,False,False,1,0.1382,0.1376,0.1628
BAL,BAL/USDT,balusdt,2,4,1,7.534,7.5623,1,2,1,1,7.5645,7.5339,7.4833,7.5623,10007.5226,7.4833,7.5769,7.5623,7.6082,7.6082,False,False,1,7.4833,7.4833,7.5645
FTM,FTM/USDT,ftmusdt,4,4,0,0.3636,0.3645,1,0,1,0,0.3819,0.3744,0.3636,0.3718,0.3718,-9999.6256,0.3636,0.3684,0.3504,0.3504,False,False,1,0.3718,0.3636,0.3819
UNIC,UNIC/USDT,unicusdt,4,4,2,0.0,0.0,0,1,0,0,10.6347,10.6202,10.6345,10.6701,10010.6202,10.728,10.728,10.728,10.728,10.728,False,False,0,0.0,10.6202,10.6701
MDX,MDX/USDT,mdxusdt,2,4,2,0.095,0.0956,1,0,1,1,0.0967,0.0954,0.0949,0.0956,10000.0955,-9999.9039,0.0953,0.0956,0.0961,0.0961,False,False,1,0.0949,0.0949,0.0967
MIR,MIR/USDT,mirusdt,4,4,1,0.2019,0.2047,2,1,1,1,0.2038,0.2037,0.2004,0.2044,0.2044,0.2004,0.2071,0.2044,0.2178,0.2178,False,True,0,0.2004,0.2037,0.2044
MASK,MASK/USDT,maskusdt,4,4,0,1.9172,1.938,1,0,1,0,1.9922,1.9563,1.9172,1.9259,1.9259,-9998.0324,1.9172,1.9259,1.8609,1.8609,False,False,1,1.9576,1.9172,1.9922
LUNR,LUNR/USDT,lunrusdt,4,4,1,0.0,0.3013,0,1,0,0,0.3006,0.2927,0.2957,0.3013,10000.2972,0.2957,0.2957,0.3013,0.2904,0.2904,False,False,0,0.0,0.2927,0.3013
CRU,CRU/USDT,cruusdt,4,4,2,0.0,1.1295,0,0,0,1,1.257,1.0543,1.1236,1.1295,10001.1206,-9998.8209,1.1302,1.1295,1.1302,1.1302,False,False,0,1.1453,1.0543,1.1295
ANT,ANT/USDT,antusdt,2,4,1,1.7714,1.9509,2,1,1,1,1.9188,1.8527,1.8438,1.9205,1.9205,1.8438,1.904,1.9205,1.6146,1.6146,False,True,0,1.8438,1.8527,1.9205
SLC,SLC/USDT,slcusdt,2,6,1,0.0,0.113945,1,2,1,1,0.113048,0.111449,0.110572,0.113945,10000.110686,0.110572,0.11499,0.113945,0.11499,0.11499,False,False,1,0.110572,0.110572,0.113048
WTC,WTC/USDT,wtcusdt,4,4,1,0.2081,0.2064,1,2,1,1,0.2013,0.2013,0.199,0.2064,10000.1991,0.199,0.2081,0.2064,0.1992,0.1992,False,False,1,0.199,0.199,0.2013
XMX,XMX/USDT,xmxusdt,2,8,2,0.0,0.0,1,2,0,0,1.977e-05,1.853e-05,1.859e-05,2.009e-05,10000.00001859,1.859e-05,2.043e-05,2.043e-05,2.043e-05,2.043e-05,False,False,1,0.0,1.859e-05,1.977e-05
LITH,LITH/USDT,lithusdt,4,6,2,0.001983,0.001971,0,1,1,1,0.001981,0.001981,0.001983,0.002,10000.001981,-9999.998,0.001983,0.001971,0.002024,0.002024,False,False,0,0.002,0.001981,0.002
