Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
EOS*(-3),EOS*(-3)/USDT,eos3susdt,4,8,0,1.527e-05,1.598e-05,0,0,0,0,1.653e-05,1.57e-05,1.527e-05,1.598e-05,1.598e-05,-9999.99998407,1.527e-05,1.598e-05,1.633e-05,1.633e-05,False,False,1,1.52e-05,1.556e-05,1.653e-05,1.604e-05
TRAC,TRAC/USDT,tracusdt,4,4,0,0.2709,0.0,1,0,0,0,0.4073,0.2634,0.2709,0.2847,0.2847,-9999.6883,0.2709,0.2847,0.2821,0.2821,False,False,1,0.0,0.2709,0.4073,0.3121
WEMIX,WEMIX/USDT,wemixusdt,4,4,0,2.125,0.0,1,0,0,0,3.9486,2.669,2.125,2.26,2.26,-9996.7353,2.125,1.8301,1.9295,1.9295,False,False,1,2.26,2.1597,3.9486,3.468
VEMP,VEMP/USDT,vempusdt,3,5,0,0.03613,0.04117,1,0,1,0,0.04064,0.03958,0.03613,0.03964,0.03964,-9999.95993,0.03613,0.03964,0.03696,0.03696,False,False,1,0.0359,0.03613,0.04064,0.04025
UIP,UIP/USDT,uipusdt,2,6,0,0.000322,0.0,1,0,0,0,0.000639,0.000341,0.000322,0.000424,0.000424,-9999.999452,0.000322,0.000296,0.000296,0.000296,False,False,1,0.000424,0.000322,0.000639,0.00055
MPL,MPL/USDT,mplusdt,4,4,2,23.3122,0.0,0,0,0,0,27.3583,21.2642,23.3122,23.4786,10026.5624,-9975.2162,23.3122,23.4786,23.3429,23.3429,False,False,1,23.4816,23.3122,27.3583,24.7838
GALFT,GALFT/USDT,galftusdt,6,4,2,0.0,0.0,0,0,0,0,2.63,1.7567,2.6505,2.6505,10002.4251,2.6505,2.6505,2.6505,2.6505,2.6505,False,False,0,0.0,1.7567,2.6505,2.3648
BNB,BNB/USDT,bnbusdt,4,2,0,294.15,300.08,1,2,1,1,320.52,318.47,317.24,321.68,321.68,317.24,317.24,321.68,288.79,288.79,True,True,1,323.7,317.24,320.52,320.44
DIA,DIA/USDT,diausdt,4,4,2,0.5131,0.5279,1,0,1,1,0.6,0.49,0.4876,0.5279,10000.4919,-9999.42,0.5131,0.5279,0.34,0.34,False,False,1,0.4876,0.4876,0.6,0.58
TLM,TLM/USDT,tlmusdt,4,6,2,0.032852,0.035443,1,0,1,1,0.043107,0.036365,0.032139,0.035443,10000.03311,-9999.96117,0.033924,0.035443,0.032478,0.032478,False,False,1,0.032139,0.032139,0.043107,0.039185
JASMY,JASMY/USDT,jasmyusdt,4,6,0,0.012213,0.012518,1,0,1,0,0.013954,0.012699,0.012213,0.013294,0.013294,-9999.987301,0.012213,0.013294,0.009666,0.009666,False,False,1,0.010863,0.012213,0.013954,0.01329
CVC,CVC/USDT,cvcusdt,2,4,0,0.179,0.1786,2,1,1,1,0.1904,0.1864,0.1843,0.1971,0.1971,0.1843,0.1843,0.1971,0.1771,0.1771,True,True,0,0.1961,0.1864,0.1971,0.1903
