Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
WICC,WICC/USDT,wiccusdt,4,4,0,0.0685,0.0,1,0,0,0,0.0818,0.0716,0.0685,0.0728,0.0728,-9999.9235,0.0685,0.0728,0.0679,0.0679,False,False,1,0.0856,0.0685,0.0818,0.0769
RLC,RLC/USDT,rlcusdt,4,4,2,0.9138,0.9073,1,2,1,1,0.9224,0.9161,0.9023,0.9467,0.9467,0.9023,0.9023,0.9073,0.8501,0.8501,True,False,1,0.9385,0.9023,0.9224,0.9223
CEL,CEL/USDT,celusdt,4,4,2,0.7238,0.7607,1,0,1,1,0.7893,0.7751,0.7543,0.7607,10000.7607,-9999.2149,0.7563,0.7607,0.766,0.766,False,False,1,0.7543,0.7543,0.7893,0.786
MU,MU/USDT,muusdt,4,6,2,0.0,0.035016,2,1,1,0,0.034153,0.03322,0.03,0.04309,0.04309,-9999.965357,0.032,0.035016,0.029279,0.029279,False,False,0,0.03,0.03322,0.04309,0.033512
KCASH,KCASH/USDT,kcashusdt,2,6,2,0.0,0.0,0,0,0,0,0.001601,0.00103,0.001009,0.001009,10000.001033,-9999.998721,0.001009,0.001009,0.001009,0.001009,False,False,1,0.0,0.000983,0.001601,0.001308
ACA,ACA/USDT,acausdt,4,4,2,0.3542,0.3912,2,1,1,1,0.4011,0.3755,0.3734,0.4009,0.4009,-9999.6057,0.38,0.3912,0.4664,0.4664,False,False,0,0.3734,0.3755,0.4009,0.3922
LTC,LTC/USDT,ltcusdt,4,2,0,68.84,0.0,2,1,0,1,72.26,70.35,68.84,72.47,72.47,-9928.09,68.84,70.02,68.1,68.1,False,False,0,72.47,70.35,72.47,71.22
ORB,ORB/USDT,orbusdt,4,6,0,0.094099,0.105402,2,1,1,1,0.113904,0.093283,0.094099,0.108439,0.108439,-9999.904571,0.094099,0.102584,0.101003,0.101003,False,False,0,0.108439,0.093283,0.108439,0.105336
GLMR,GLMR/USDT,glmrusdt,4,4,0,1.1536,1.2469,1,0,1,0,1.262,1.1796,1.1536,1.212,1.212,-9998.7753,1.1536,1.212,1.1895,1.1895,False,False,1,1.0809,1.1536,1.262,1.2338
UMA,UMA/USDT,umausdt,4,4,2,0.0,0.0,1,0,0,1,4.1857,3.2994,2.8267,3.0181,10002.8786,-9996.4876,2.8794,2.8794,2.8794,2.8794,False,False,1,3.0181,2.8267,4.1857,3.6255
XRT,XRT/USDT,xrtusdt,4,4,2,0.0,0.0,2,1,0,0,4.411,4.1388,4.0436,4.667,4.667,-9995.5872,3.9075,3.9075,3.9075,3.9075,False,False,0,0.0,4.1388,4.667,4.2344
PVT,PVT/USDT,pvtusdt,2,8,2,0.0,0.0,1,0,0,0,3.198e-05,2.458e-05,2.034e-05,2.326e-05,10000.0000225,-9999.99997295,2.162e-05,2.162e-05,2.162e-05,2.162e-05,False,False,1,0.0,2.034e-05,3.198e-05,2.734e-05
SPELLFIRE,SPELLFIRE/USDT,spellfireusdt,4,6,2,0.0,0.0,0,0,0,0,0.0125,0.00542,0.005778,0.005778,10000.005892,-9999.9931,0.005778,0.005778,0.005778,0.005778,False,False,1,0.0,0.005548,0.0125,0.00708
DTA,DTA/USDT,dtausdt,4,8,2,0.0,3.685e-05,1,0,1,1,3.867e-05,3.579e-05,3.33e-05,3.685e-05,10000.00003464,-9999.99996342,3.666e-05,3.685e-05,3.832e-05,3.832e-05,False,False,1,3.33e-05,3.33e-05,3.867e-05,3.69e-05
FLOW,FLOW/USDT,flowusdt,4,4,1,2.8975,3.0404,0,2,1,1,3.0953,2.6716,2.7404,3.0404,10002.7644,2.7404,2.8975,3.0404,2.8902,2.8902,False,False,1,2.7404,2.7404,3.0953,2.8746
ROCO,ROCO/USDT,rocousdt,4,4,2,0.1112,0.1109,1,2,1,0,0.1179,0.1122,0.1105,0.1192,0.1192,0.1105,0.1105,0.1109,0.1098,0.1098,True,False,1,0.0995,0.1105,0.1179,0.1135
EOS,EOS/USDT,eosusdt,4,4,2,1.2421,1.3364,2,1,1,1,1.3689,1.3244,1.2462,1.3713,1.3713,-9998.647,1.2954,1.3364,1.3438,1.3438,False,False,0,1.2462,1.3244,1.3713,1.3452
UUU,UUU/USDT,uuuusdt,2,8,0,3.001e-05,3.484e-05,1,0,1,0,4.41e-05,2.81e-05,3.001e-05,3.509e-05,3.509e-05,-9999.9999655,3.001e-05,3.484e-05,2.51e-05,2.51e-05,False,False,1,3.032e-05,3.001e-05,4.41e-05,3.569e-05
CRE,CRE/USDT,creusdt,2,6,2,0.0055,0.0,0,2,0,1,0.006146,0.006146,0.00531,0.006654,10000.005054,0.00531,0.0055,0.003909,0.003909,0.003909,False,False,1,0.006654,0.00531,0.006146,0.006146
CTX(C2X),CTX(C2X)/USDT,ctxc2xusdt,4,6,2,1.18678,1.18643,1,0,1,1,1.21966,1.155633,1.152627,1.18643,10001.157503,-9998.809088,1.175577,1.18643,0.763635,0.763635,False,False,1,1.152627,1.152627,1.21966,1.197372
1SOL,1SOL/USDT,1solusdt,4,4,2,0.0,0.0,0,1,0,0,0.1095,0.1039,0.1024,0.1099,10000.1033,-9999.8918,0.1024,0.1024,0.1024,0.1024,False,False,0,0.0,0.1039,0.1099,0.1043
SC,SC/USDT,scusdt,2,6,0,0.005078,0.005396,1,2,1,1,0.00538,0.005306,0.005261,0.005513,0.005513,0.005261,0.005261,0.005513,0.005055,0.005055,True,True,1,0.005516,0.005261,0.00538,0.005378
SIS,SIS/USDT,sisusdt,4,4,2,0.2831,0.2834,1,0,1,1,0.4455,0.3453,0.2515,0.2932,10000.2819,-9999.6528,0.2831,0.2834,0.2971,0.2971,False,False,1,0.2722,0.2515,0.4455,0.3581
ICX,ICX/USDT,icxusdt,4,4,0,0.3542,0.3752,1,2,1,1,0.3904,0.3867,0.383,0.3993,0.3993,0.383,0.383,0.3993,0.3789,0.3789,True,True,1,0.4004,0.383,0.3904,0.3892
C98,C98/USDT,c98usdt,4,4,0,0.5233,0.4996,1,0,1,0,0.6873,0.5297,0.5233,0.5332,0.5332,-9999.3565,0.5233,0.5,0.4965,0.4965,False,False,1,0.5332,0.5233,0.6873,0.669
WND,WND/USDT,wndusdt,4,4,2,0.0,0.0,0,1,0,1,0.2098,0.2081,0.2107,0.2221,10000.2083,-9999.7879,0.2109,0.2109,0.2109,0.2109,False,False,0,0.2221,0.2081,0.2221,0.2083
IOST,IOST/USDT,iostusdt,4,6,2,0.016827,0.016807,0,2,1,1,0.017959,0.017276,0.01742,0.017958,10000.017599,0.01742,0.01742,0.017183,0.017821,0.017821,False,False,1,0.017958,0.01742,0.017959,0.017581
DF,DF/USDT,dfusdt,2,4,0,0.0266,0.0,1,0,0,0,0.063,0.0272,0.0266,0.027,0.0269,-9999.9627,0.0266,0.027,0.0252,0.0252,False,False,1,0.0269,0.0266,0.063,0.0373
HOLO,HOLO/USDT,holousdt,4,6,2,0.002452,0.002752,1,2,1,1,0.002474,0.002474,0.002344,0.002752,10000.002344,0.002344,0.002452,0.002501,0.0031,0.0031,False,False,1,0.002752,0.002344,0.002474,0.002474
RANKER,RANKER/USDT,rankerusdt,4,6,2,0.009094,0.013887,0,1,1,1,0.013624,0.011882,0.01241,0.016066,10000.013624,-9999.986609,0.014118,0.013887,0.01065,0.01065,False,False,0,0.01241,0.011882,0.016066,0.01301
GOF,GOF/USDT,gofusdt,2,4,2,0.0,0.0,0,1,0,0,0.0692,0.0569,0.0598,0.0708,10000.0602,-9999.9403,0.0609,0.0609,0.0609,0.0609,False,False,0,0.0,0.0569,0.0708,0.0631
DHT,DHT/USDT,dhtusdt,4,4,1,0.1293,0.1595,0,0,0,0,0.1492,0.1291,0.1293,0.1595,10000.1492,0.1293,0.1293,0.1595,0.1633,0.1633,False,False,0,0.1592,0.1291,0.1362,0.1323
SOL,SOL/USDT,solusdt,2,4,1,48.2944,53.8492,1,2,1,1,53.1764,51.1448,47.8352,53.8492,10049.4151,47.8352,50.6105,53.8492,51.0186,51.0186,False,False,1,47.8352,47.8352,53.1764,52.2262
LOKA,LOKA/USDT,lokausdt,4,4,2,0.0,1.1488,1,0,1,1,1.4496,1.1331,0.9524,1.1488,10000.984,-9998.7751,1.0835,1.1488,1.0835,1.0835,False,False,1,0.9524,0.9524,1.4496,1.2271
FTM,FTM/USDT,ftmusdt,4,4,0,0.3223,0.3316,1,0,1,0,0.4623,0.383,0.3223,0.3655,0.3655,-9999.5741,0.3223,0.3316,0.3429,0.3429,False,False,1,0.3032,0.3233,0.4623,0.4282
NANO,NANO/USDT,nanousdt,4,4,0,1.1127,1.1386,2,1,1,1,1.1571,1.123,1.1127,1.1521,1.1521,-9998.8582,1.1127,1.1285,1.1289,1.1289,False,False,0,1.1521,1.123,1.1521,1.1317
AAVE,AAVE/USDT,aaveusdt,4,4,0,81.2685,86.1688,1,2,1,1,95.8242,92.0268,90.5675,96.8875,96.8875,90.5675,90.5675,96.8875,84.3023,84.3023,True,True,1,98.148,90.5675,95.8242,92.8758
LINK,LINK/USDT,linkusdt,2,4,0,6.916,7.3202,1,0,1,0,7.4168,7.1057,6.916,7.1203,7.1203,-9992.7844,6.916,7.1203,7.1889,7.1889,False,False,1,6.7485,6.916,7.4168,7.2707
JST,JST/USDT,jstusdt,2,6,2,0.038002,0.040832,1,0,1,1,0.043206,0.040789,0.03841,0.040832,10000.039318,-9999.958257,0.039469,0.040832,0.040443,0.040443,False,False,1,0.03841,0.03841,0.043206,0.041998
STN,STN/USDT,stnusdt,2,4,0,0.0307,0.0,1,0,0,0,0.0325,0.0325,0.0307,0.032,0.032,-9999.9675,0.0307,0.032,0.0307,0.0307,False,False,1,0.0321,0.0307,0.0325,0.0325
KT,KT/USDT,ktusdt,4,6,2,0.0041,0.0,0,0,0,0,0.0062,0.003636,0.0041,0.004508,10000.003809,-9999.995459,0.0041,0.004508,0.004401,0.004401,False,False,1,0.009472,0.0041,0.0062,0.003809
BSV*(-3),BSV*(-3)/USDT,bsv3susdt,4,8,2,0.00020122,0.000184,1,2,1,1,0.00018254,0.0001812,0.0001763,0.00018748,0.00018748,0.0001763,0.0001763,0.000184,0.00017627,0.00017627,True,False,1,0.00017469,0.0001763,0.00018254,0.00018254
CVP,CVP/USDT,cvpusdt,4,4,2,0.0,0.0,1,0,0,0,0.5105,0.3005,0.2889,0.3111,10000.3003,-9999.6544,0.3028,0.3028,0.3028,0.3028,False,False,1,0.0,0.2889,0.5105,0.3475
PEOPLE,PEOPLE/USDT,peopleusdt,4,6,1,0.017157,0.041438,0,1,0,1,0.030791,0.027453,0.030762,0.041438,10000.030099,0.030762,0.030762,0.041438,0.016498,0.016498,False,False,0,0.043445,0.027453,0.041438,0.029483
PUSH,PUSH/USDT,pushusdt,4,4,2,0.5333,0.5173,0,1,1,1,0.5349,0.5211,0.5333,0.5387,10000.5227,-9999.4641,0.5333,0.5329,0.5407,0.5407,False,False,0,0.5387,0.5211,0.5387,0.5227
OCEAN,OCEAN/USDT,oceanusdt,4,4,2,0.224,0.225,1,2,1,2,0.2337,0.2324,0.2295,0.2379,10000.23,0.2295,0.2317,0.2273,0.221,0.221,False,False,1,0.2379,0.2295,0.2337,0.2337
USDC,USDC/USDT,usdcusdt,4,4,2,0.0,0.0,0,0,0,0,1.0018,1.0006,1.0014,1.0014,10001.0012,-9998.9987,1.0014,1.0014,1.0014,1.0014,False,False,0,0.0,1.0006,1.0015,1.0011
YAM,YAM/USDT,yamusdt,4,4,0,0.1256,0.0,1,0,0,0,0.2637,0.138,0.1256,0.1262,0.1262,-9999.7898,0.1256,0.1191,0.1191,0.1191,False,False,1,0.1205,0.1256,0.2637,0.2102
SOFI,SOFI/USDT,sofiusdt,4,4,2,0.0,0.0,1,2,0,0,0.1278,0.1122,0.1116,0.1311,10000.1144,0.1116,0.1222,0.1222,0.1222,0.1222,False,False,1,0.0,0.1116,0.1278,0.1173
RIFI,RIFI/USDT,rifiusdt,4,4,2,0.0266,0.0277,2,1,1,1,0.0286,0.0261,0.026,0.0281,0.028,0.026,0.0266,0.0281,0.0268,0.0268,False,True,0,0.0292,0.0261,0.028,0.028
ADP,ADP/USDT,adpusdt,4,6,0,0.02179,0.0,1,0,0,0,0.029944,0.022852,0.02179,0.023744,0.023744,-9999.97662,0.02179,0.017879,0.017879,0.017879,False,False,1,0.023744,0.02179,0.029944,0.023886
ABBC,ABBC/USDT,abbcusdt,4,4,2,0.0878,0.091,1,0,1,1,0.0971,0.0925,0.0778,0.091,10000.08,-9999.9049,0.0878,0.091,0.0874,0.0874,False,False,1,0.0778,0.0778,0.0971,0.0959
ADA,ADA/USDT,adausdt,4,6,0,0.521672,0.534025,2,1,1,1,0.547387,0.52923,0.521672,0.548821,0.548821,-9999.456545,0.521672,0.538552,0.52915,0.52915,False,False,0,0.548821,0.52923,0.548821,0.541758
XCAD,XCAD/USDT,xcadusdt,4,4,0,2.9567,2.3876,2,1,1,1,3.8947,3.7521,3.2,4.0996,4.0996,3.2,3.2,4.0996,2.1112,2.1112,True,True,0,4.0489,3.7521,4.0996,3.8117
NSURE,NSURE/USDT,nsureusdt,4,4,0,0.0,0.0,0,1,0,1,0.0226,0.0207,0.0195,0.032,0.0195,-9999.9782,0.0195,0.0195,0.0195,0.0195,False,False,0,0.032,0.0207,0.032,0.0216
ETC,ETC/USDT,etcusdt,4,4,0,20.1499,20.4813,1,0,1,0,21.2703,20.4778,20.1499,20.5668,20.5668,-9979.3001,20.1499,20.5668,20.9738,20.9738,False,False,1,21.2119,20.1499,21.2703,20.8191
NT,NT/USDT,ntusdt,4,6,2,0.0,0.0,0,0,0,0,0.011195,0.007717,0.0078,0.0078,10000.0083,-9999.9913,0.0078,0.0078,0.0078,0.0078,False,False,0,0.0,0.007717,0.0084,0.008701
AXS,AXS/USDT,axsusdt,4,4,0,20.9602,22.7409,1,0,1,0,23.546,21.5445,20.9602,21.765,21.765,-9977.5662,20.9602,21.7154,21.5346,21.5346,False,False,1,21.765,20.9602,23.546,22.6862
ONIT,ONIT/USDT,onitusdt,4,4,0,0.0501,0.0614,1,0,1,0,0.0754,0.0538,0.0501,0.0604,0.0604,-9999.9409,0.0501,0.0604,0.0467,0.0467,False,False,1,0.0475,0.0501,0.0754,0.0579
HPT,HPT/USDT,hptusdt,4,6,2,0.0,0.0,0,0,0,0,0.002063,0.002,0.00201,0.002025,10000.002005,-9999.997999,0.002022,0.002022,0.002022,0.002022,False,False,1,0.0,0.00201,0.002063,0.002005
YEE,YEE/USDT,yeeusdt,2,6,0,0.000156,0.0,1,2,0,1,0.0003,0.000203,0.00019,0.00048,0.00048,0.00019,0.00019,0.000128,0.000128,0.000128,True,False,1,0.00048,0.00019,0.0003,0.000214
FIL*(-3),FIL*(-3)/USDT,fil3susdt,4,8,2,6.642e-05,8.822e-05,0,2,1,1,6.712e-05,6.053e-05,6.237e-05,7.285e-05,10000.00006305,6.237e-05,6.642e-05,7.135e-05,6.794e-05,6.794e-05,False,False,1,7.285e-05,6.237e-05,6.712e-05,6.401e-05
NFT,NFT/USDT,nftusdt,0,10,0,7.562e-07,7.519e-07,2,1,1,1,8.098e-07,8.01e-07,7.562e-07,8.196e-07,8.196e-07,-9999.9999991889,7.562e-07,7.519e-07,7.523e-07,7.523e-07,False,False,0,8.196e-07,8.01e-07,8.196e-07,8.066e-07
LUNR,LUNR/USDT,lunrusdt,4,4,1,0.0,0.54,1,2,1,0,0.3117,0.27,0.2701,0.54,10000.2797,0.2701,0.3272,0.54,0.3272,0.3272,False,False,1,0.2701,0.2701,0.3117,0.2868
INJ,INJ/USDT,injusdt,4,4,2,2.2362,2.2575,2,1,1,1,2.2713,2.2113,2.2305,2.3509,2.3509,2.2305,2.2305,2.3509,2.0272,2.0272,True,True,0,2.2116,2.2113,2.3509,2.2444
SPA,SPA/USDT,spausdt,2,6,2,0.0,0.0,0,1,0,1,0.055799,0.049866,0.051501,0.066858,10000.054287,-9999.937684,0.054105,0.054105,0.054105,0.054105,False,False,0,0.055707,0.049866,0.066858,0.051609
STG,STG/USDT,stgusdt,4,4,2,0.0,0.0,0,0,0,0,0.6892,0.6006,0.6308,0.6308,10000.635,-9999.3565,0.6308,0.6308,0.6308,0.6308,False,False,0,0.0,0.6006,0.6356,0.6511
HUNT,HUNT/USDT,huntusdt,4,4,0,0.4608,0.4591,1,0,1,0,0.5711,0.4857,0.4608,0.484,0.484,-9999.492,0.4608,0.484,0.4704,0.4704,False,False,1,0.4149,0.4608,0.5711,0.5111
BOSON,BOSON/USDT,bosonusdt,4,4,1,0.0,0.4469,1,2,1,0,0.4405,0.3897,0.3627,0.4469,10000.3798,0.3627,0.3815,0.4469,0.4003,0.4003,False,False,1,0.3627,0.3627,0.4405,0.3991
MOOV,MOOV/USDT,moovusdt,4,6,2,0.0,0.0,2,1,0,0,0.014588,0.013368,0.01303,0.015198,0.015198,0.01303,0.01303,0.015198,0.016162,0.016162,True,True,0,0.0,0.013368,0.015198,0.01412
SKL,SKL/USDT,sklusdt,4,6,2,0.076392,0.081682,2,1,1,1,0.084043,0.082478,0.077093,0.086231,0.086231,-9999.915729,0.078245,0.081682,0.081353,0.081353,False,False,0,0.077093,0.082478,0.086231,0.083938
TALK,TALK/USDT,talkusdt,4,6,2,0.0,0.0,1,0,0,0,0.25,0.148456,0.14366,0.147747,10000.146653,-9999.814142,0.147747,0.147747,0.147747,0.147747,False,False,1,0.0,0.14366,0.25,0.185858
MLN,MLN/USDT,mlnusdt,4,4,0,30.0892,29.9836,1,0,1,0,31.2889,30.4143,30.0892,30.6369,30.6369,-9969.2748,30.0892,29.9836,27.7956,27.7956,False,False,1,29.3785,30.0892,31.2889,30.7525
STARLY,STARLY/USDT,starlyusdt,4,4,2,0.0,0.2492,0,0,1,0,0.5268,0.39,0.3549,0.4602,10000.3518,-9999.5221,0.3549,0.2492,0.2466,0.2466,False,False,0,0.242,0.39,0.4602,0.4782
BTC*(-1),BTC*(-1)/USDT,btc1susdt,4,4,2,0.7642,0.7813,1,2,1,1,0.7896,0.7661,0.766,0.7828,10000.7712,0.766,0.7866,0.7813,0.7989,0.7989,False,False,1,0.7722,0.766,0.7896,0.7763
CVX,CVX/USDT,cvxusdt,4,4,1,11.1266,11.4731,2,1,1,1,10.9156,10.4377,9.3753,10.9156,10.8554,9.3753,11.1266,10.9156,11.3208,11.3208,False,True,0,9.3753,10.4377,10.8554,10.5967
CRV,CRV/USDT,crvusdt,4,4,0,1.2133,1.2712,1,0,1,0,1.2913,1.2355,1.2133,1.265,1.265,-9998.7313,1.2133,1.265,1.3519,1.3519,False,False,1,0.9926,1.2133,1.2913,1.264
DKA,DKA/USDT,dkausdt,2,6,1,0.048669,0.072699,0,1,0,1,0.062935,0.060497,0.062105,0.072699,10000.06226,0.062105,0.062105,0.072699,0.052591,0.052591,False,False,0,0.074669,0.060497,0.072699,0.062047
SAND,SAND/USDT,sandusdt,4,6,0,1.296473,1.394436,1,0,1,0,1.4612,1.372582,1.296473,1.34566,1.34566,-9998.61035,1.296473,1.34566,1.336734,1.336734,False,False,1,1.139883,1.298614,1.4612,1.40864
